# Region type : patch heater_to_fins
# Faces  :    56
# Area   :    1.000000e-04
# Time        	areaAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.991286e+02
3             	3.013580e+02
4             	3.035718e+02
5             	3.057779e+02
6             	3.079727e+02
7             	3.101548e+02
8             	3.123233e+02
9             	3.144776e+02
10            	3.166176e+02
11            	3.187430e+02
12            	3.208541e+02
13            	3.229509e+02
14            	3.250336e+02
15            	3.271022e+02
16            	3.291571e+02
17            	3.311982e+02
18            	3.332259e+02
19            	3.352401e+02
20            	3.372409e+02
21            	3.392285e+02
22            	3.412030e+02
23            	3.431644e+02
24            	3.451129e+02
25            	3.470486e+02
26            	3.489716e+02
27            	3.508819e+02
28            	3.527797e+02
29            	3.546651e+02
30            	3.565378e+02
31            	3.583977e+02
32            	3.602444e+02
33            	3.620776e+02
34            	3.638969e+02
35            	3.657021e+02
36            	3.674931e+02
37            	3.692697e+02
38            	3.710322e+02
39            	3.727805e+02
40            	3.745149e+02
41            	3.762351e+02
42            	3.779412e+02
43            	3.796332e+02
44            	3.813112e+02
45            	3.829752e+02
46            	3.846255e+02
47            	3.862622e+02
48            	3.878855e+02
49            	3.894953e+02
50            	3.910917e+02
51            	3.926749e+02
52            	3.942448e+02
53            	3.958016e+02
54            	3.973455e+02
55            	3.988764e+02
56            	4.003946e+02
57            	4.019003e+02
58            	4.033935e+02
59            	4.048744e+02
60            	4.063432e+02
61            	4.078000e+02
62            	4.092447e+02
63            	4.106776e+02
64            	4.120985e+02
65            	4.135078e+02
66            	4.149055e+02
67            	4.162916e+02
68            	4.176662e+02
69            	4.190295e+02
70            	4.203814e+02
71            	4.217221e+02
72            	4.230516e+02
73            	4.243701e+02
74            	4.256777e+02
75            	4.269745e+02
76            	4.282606e+02
77            	4.295361e+02
78            	4.308010e+02
79            	4.320555e+02
80            	4.332996e+02
81            	4.345334e+02
82            	4.357569e+02
83            	4.369703e+02
84            	4.381737e+02
85            	4.393671e+02
86            	4.405506e+02
87            	4.417243e+02
88            	4.428882e+02
89            	4.440425e+02
90            	4.451870e+02
91            	4.463220e+02
92            	4.474475e+02
93            	4.485636e+02
94            	4.496704e+02
95            	4.507680e+02
96            	4.518563e+02
97            	4.529355e+02
98            	4.540055e+02
99            	4.550664e+02
100           	4.561183e+02
101           	4.571612e+02
102           	4.581952e+02
103           	4.592204e+02
104           	4.602369e+02
105           	4.612447e+02
106           	4.622440e+02
107           	4.632348e+02
108           	4.642172e+02
109           	4.651913e+02
110           	4.661571e+02
111           	4.671148e+02
112           	4.680643e+02
113           	4.690058e+02
114           	4.699392e+02
115           	4.708648e+02
116           	4.717824e+02
117           	4.726921e+02
118           	4.735940e+02
119           	4.744882e+02
120           	4.753746e+02
121           	4.762534e+02
122           	4.771247e+02
