# Region      : all 
# Cells       : 2264
# Volume      : 3.329701e-06
# Time        	volAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.992099e+02
3             	3.015030e+02
4             	3.037919e+02
5             	3.060733e+02
6             	3.083417e+02
7             	3.105947e+02
8             	3.128315e+02
9             	3.150516e+02
10            	3.172551e+02
11            	3.194421e+02
12            	3.216126e+02
13            	3.237668e+02
14            	3.259051e+02
15            	3.280275e+02
16            	3.301345e+02
17            	3.322260e+02
18            	3.343024e+02
19            	3.363637e+02
20            	3.384101e+02
21            	3.404419e+02
22            	3.424590e+02
23            	3.444617e+02
24            	3.464500e+02
25            	3.484242e+02
26            	3.503843e+02
27            	3.523306e+02
28            	3.542632e+02
29            	3.561821e+02
30            	3.580874e+02
31            	3.599789e+02
32            	3.618561e+02
33            	3.637190e+02
34            	3.655677e+02
35            	3.674023e+02
36            	3.692227e+02
37            	3.710292e+02
38            	3.728218e+02
39            	3.746008e+02
40            	3.763662e+02
41            	3.781183e+02
42            	3.798571e+02
43            	3.815828e+02
44            	3.832956e+02
45            	3.849956e+02
46            	3.866830e+02
47            	3.883582e+02
48            	3.900205e+02
49            	3.916702e+02
50            	3.933076e+02
51            	3.949327e+02
52            	3.965458e+02
53            	3.981469e+02
54            	3.997361e+02
55            	4.013136e+02
56            	4.028793e+02
57            	4.044335e+02
58            	4.059762e+02
59            	4.075075e+02
60            	4.090274e+02
61            	4.105362e+02
62            	4.120338e+02
63            	4.135204e+02
64            	4.149962e+02
65            	4.164611e+02
66            	4.179153e+02
67            	4.193588e+02
68            	4.207916e+02
69            	4.222139e+02
70            	4.236257e+02
71            	4.250271e+02
72            	4.264181e+02
73            	4.277990e+02
74            	4.291696e+02
75            	4.305302e+02
76            	4.318808e+02
77            	4.332215e+02
78            	4.345523e+02
79            	4.358733e+02
80            	4.371846e+02
81            	4.384862e+02
82            	4.397783e+02
83            	4.410608e+02
84            	4.423339e+02
85            	4.435977e+02
86            	4.448521e+02
87            	4.460974e+02
88            	4.473335e+02
89            	4.485605e+02
90            	4.497786e+02
91            	4.509878e+02
92            	4.521881e+02
93            	4.533797e+02
94            	4.545625e+02
95            	4.557367e+02
96            	4.569023e+02
97            	4.580594e+02
98            	4.592079e+02
99            	4.603481e+02
100           	4.614798e+02
101           	4.626032e+02
102           	4.637184e+02
103           	4.648253e+02
104           	4.659241e+02
105           	4.670149e+02
106           	4.680976e+02
107           	4.691724e+02
108           	4.702392e+02
109           	4.712983e+02
110           	4.723495e+02
111           	4.733929e+02
112           	4.744286e+02
113           	4.754566e+02
114           	4.764771e+02
115           	4.774900e+02
116           	4.784954e+02
117           	4.794934e+02
118           	4.804840e+02
119           	4.814672e+02
120           	4.824431e+02
121           	4.834118e+02
122           	4.843733e+02
