# Region      : all 
# Cells       : 621
# Volume      : 1.000000e-06
# Time        	max(T)
0             	2.969000e+02
1             	3.146462e+02
2             	3.170061e+02
3             	3.195996e+02
4             	3.220943e+02
5             	3.245356e+02
6             	3.269200e+02
7             	3.292624e+02
8             	3.315724e+02
9             	3.338561e+02
10            	3.361172e+02
11            	3.383583e+02
12            	3.405809e+02
13            	3.427859e+02
14            	3.449741e+02
15            	3.471459e+02
16            	3.493018e+02
17            	3.514421e+02
18            	3.535669e+02
19            	3.556764e+02
20            	3.577708e+02
21            	3.598503e+02
22            	3.619149e+02
23            	3.639648e+02
24            	3.660000e+02
25            	3.680208e+02
26            	3.700273e+02
27            	3.720196e+02
28            	3.739978e+02
29            	3.759621e+02
30            	3.779125e+02
31            	3.798490e+02
32            	3.817714e+02
33            	3.836797e+02
34            	3.855739e+02
35            	3.874542e+02
36            	3.893204e+02
37            	3.911727e+02
38            	3.930112e+02
39            	3.948359e+02
40            	3.966471e+02
41            	3.984446e+02
42            	4.002288e+02
43            	4.019997e+02
44            	4.037574e+02
45            	4.055020e+02
46            	4.072337e+02
47            	4.089526e+02
48            	4.106587e+02
49            	4.123521e+02
50            	4.140328e+02
51            	4.157011e+02
52            	4.173569e+02
53            	4.190005e+02
54            	4.206319e+02
55            	4.222512e+02
56            	4.238586e+02
57            	4.254540e+02
58            	4.270376e+02
59            	4.286095e+02
60            	4.301698e+02
61            	4.317186e+02
62            	4.332560e+02
63            	4.347820e+02
64            	4.362968e+02
65            	4.378004e+02
66            	4.392930e+02
67            	4.407746e+02
68            	4.422453e+02
69            	4.437052e+02
70            	4.451543e+02
71            	4.465928e+02
72            	4.480207e+02
73            	4.494381e+02
74            	4.508450e+02
75            	4.522416e+02
76            	4.536280e+02
77            	4.550041e+02
78            	4.563702e+02
79            	4.577262e+02
80            	4.590722e+02
81            	4.604084e+02
82            	4.617347e+02
83            	4.630512e+02
84            	4.643581e+02
85            	4.656554e+02
86            	4.669431e+02
87            	4.682213e+02
88            	4.694902e+02
89            	4.707498e+02
90            	4.720001e+02
91            	4.732413e+02
92            	4.744734e+02
93            	4.756965e+02
94            	4.769106e+02
95            	4.781158e+02
96            	4.793122e+02
97            	4.804999e+02
98            	4.816788e+02
99            	4.828491e+02
100           	4.840107e+02
101           	4.851639e+02
102           	4.863086e+02
103           	4.874449e+02
104           	4.885728e+02
105           	4.896925e+02
106           	4.908039e+02
107           	4.919072e+02
108           	4.930023e+02
109           	4.940894e+02
110           	4.951685e+02
111           	4.962397e+02
112           	4.973029e+02
113           	4.983583e+02
114           	4.994058e+02
115           	5.004457e+02
116           	5.014778e+02
117           	5.025024e+02
118           	5.035193e+02
119           	5.045287e+02
120           	5.055306e+02
121           	5.065251e+02
122           	5.075122e+02
123           	5.084919e+02
124           	5.094644e+02
125           	5.104296e+02
126           	5.113877e+02
127           	5.123386e+02
128           	5.132824e+02
129           	5.142191e+02
130           	5.151489e+02
131           	5.160717e+02
132           	5.169877e+02
133           	5.178967e+02
134           	5.187990e+02
135           	5.196947e+02
136           	5.205837e+02
137           	5.214661e+02
138           	5.223419e+02
139           	5.232111e+02
140           	5.240738e+02
141           	5.249301e+02
142           	5.257799e+02
143           	5.266234e+02
144           	5.274605e+02
145           	5.282913e+02
146           	5.291159e+02
147           	5.299343e+02
148           	5.307465e+02
149           	5.315526e+02
150           	5.323527e+02
151           	5.331466e+02
152           	5.339346e+02
153           	5.347166e+02
154           	5.354927e+02
155           	5.362629e+02
156           	5.370273e+02
157           	5.377859e+02
158           	5.385387e+02
159           	5.392857e+02
160           	5.400271e+02
161           	5.407629e+02
162           	5.414931e+02
163           	5.422177e+02
164           	5.429368e+02
165           	5.436504e+02
166           	5.443586e+02
167           	5.450614e+02
168           	5.457588e+02
169           	5.464510e+02
170           	5.471378e+02
171           	5.478194e+02
172           	5.484958e+02
173           	5.491670e+02
174           	5.498331e+02
175           	5.504941e+02
176           	5.511500e+02
177           	5.518010e+02
178           	5.524469e+02
179           	5.530880e+02
180           	5.537241e+02
181           	5.543553e+02
182           	5.549817e+02
183           	5.556033e+02
184           	5.562201e+02
185           	5.568323e+02
186           	5.574397e+02
187           	5.580424e+02
188           	5.586405e+02
189           	5.592340e+02
190           	5.598229e+02
191           	5.604074e+02
192           	5.609873e+02
193           	5.615627e+02
194           	5.621338e+02
195           	5.627004e+02
196           	5.632627e+02
197           	5.638206e+02
198           	5.643742e+02
199           	5.649236e+02
200           	5.654687e+02
201           	5.660096e+02
202           	5.665463e+02
203           	5.670790e+02
204           	5.676075e+02
205           	5.681319e+02
206           	5.686523e+02
207           	5.691688e+02
208           	5.696812e+02
209           	5.701897e+02
210           	5.706943e+02
211           	5.711950e+02
212           	5.716919e+02
213           	5.721849e+02
214           	5.726742e+02
215           	5.731597e+02
216           	5.736414e+02
217           	5.741195e+02
218           	5.745939e+02
219           	5.750646e+02
220           	5.755317e+02
221           	5.759952e+02
222           	5.764552e+02
223           	5.769116e+02
224           	5.773645e+02
225           	5.778138e+02
226           	5.782598e+02
227           	5.787023e+02
228           	5.791413e+02
229           	5.795770e+02
230           	5.800093e+02
231           	5.804383e+02
232           	5.808640e+02
233           	5.812864e+02
234           	5.817055e+02
235           	5.821215e+02
236           	5.825342e+02
237           	5.829437e+02
238           	5.833501e+02
239           	5.837534e+02
240           	5.841535e+02
241           	5.845506e+02
242           	5.849446e+02
243           	5.853356e+02
244           	5.857236e+02
245           	5.861087e+02
246           	5.864908e+02
247           	5.868699e+02
248           	5.872461e+02
249           	5.876195e+02
250           	5.879900e+02
251           	5.883576e+02
252           	5.887225e+02
253           	5.890845e+02
254           	5.894438e+02
255           	5.898003e+02
256           	5.901541e+02
257           	5.905052e+02
258           	5.908536e+02
259           	5.911993e+02
260           	5.915423e+02
261           	5.918827e+02
262           	5.922205e+02
263           	5.925557e+02
264           	5.928884e+02
265           	5.932184e+02
266           	5.935460e+02
267           	5.938710e+02
268           	5.941935e+02
269           	5.945136e+02
270           	5.948312e+02
271           	5.951464e+02
272           	5.954592e+02
273           	5.957696e+02
274           	5.960776e+02
275           	5.963832e+02
276           	5.966866e+02
277           	5.969875e+02
278           	5.972862e+02
279           	5.975826e+02
280           	5.978767e+02
281           	5.981686e+02
282           	5.984583e+02
283           	5.987457e+02
284           	5.990309e+02
285           	5.993140e+02
286           	5.995949e+02
287           	5.998736e+02
288           	6.001502e+02
289           	6.004247e+02
290           	6.006971e+02
291           	6.009674e+02
292           	6.012357e+02
293           	6.015019e+02
294           	6.017661e+02
295           	6.020282e+02
296           	6.022884e+02
297           	6.025465e+02
298           	6.028027e+02
299           	6.030569e+02
300           	6.033092e+02
301           	6.035595e+02
302           	6.038079e+02
303           	6.040544e+02
304           	6.042991e+02
305           	6.045418e+02
306           	6.047827e+02
307           	6.050217e+02
308           	6.052589e+02
309           	6.054942e+02
310           	6.057278e+02
311           	6.059596e+02
312           	6.061896e+02
313           	6.064178e+02
314           	6.066443e+02
315           	6.068690e+02
316           	6.070920e+02
317           	6.073133e+02
318           	6.075329e+02
319           	6.077509e+02
320           	6.079671e+02
321           	6.081816e+02
322           	6.083945e+02
323           	6.086058e+02
324           	6.088154e+02
325           	6.090234e+02
326           	6.092297e+02
327           	6.094345e+02
328           	6.096376e+02
329           	6.098392e+02
330           	6.100393e+02
331           	6.102378e+02
332           	6.104347e+02
333           	6.106301e+02
334           	6.108241e+02
335           	6.110165e+02
336           	6.112074e+02
337           	6.113968e+02
338           	6.115848e+02
339           	6.117713e+02
340           	6.119564e+02
341           	6.121400e+02
342           	6.123222e+02
343           	6.125030e+02
344           	6.126823e+02
345           	6.128603e+02
346           	6.130369e+02
347           	6.132121e+02
348           	6.133859e+02
349           	6.135583e+02
350           	6.137294e+02
351           	6.138992e+02
352           	6.140676e+02
353           	6.142347e+02
354           	6.144005e+02
355           	6.145650e+02
356           	6.147282e+02
357           	6.148901e+02
358           	6.150507e+02
359           	6.152101e+02
360           	6.153682e+02
361           	6.155251e+02
362           	6.156808e+02
363           	6.158352e+02
364           	6.159885e+02
365           	6.161405e+02
366           	6.162914e+02
367           	6.164410e+02
368           	6.165896e+02
369           	6.167369e+02
370           	6.168831e+02
371           	6.170282e+02
372           	6.171721e+02
373           	6.173149e+02
374           	6.174566e+02
375           	6.175972e+02
376           	6.177367e+02
377           	6.178751e+02
378           	6.180124e+02
379           	6.181487e+02
380           	6.182838e+02
381           	6.184179e+02
382           	6.185509e+02
383           	6.186829e+02
384           	6.188138e+02
385           	6.189437e+02
386           	6.190726e+02
387           	6.192005e+02
388           	6.193273e+02
389           	6.194532e+02
390           	6.195780e+02
391           	6.197018e+02
392           	6.198247e+02
393           	6.199466e+02
394           	6.200675e+02
395           	6.201875e+02
396           	6.203066e+02
397           	6.204246e+02
398           	6.205418e+02
399           	6.206580e+02
400           	6.207734e+02
401           	6.208878e+02
402           	6.210013e+02
403           	6.211139e+02
404           	6.212256e+02
405           	6.213364e+02
406           	6.214464e+02
407           	6.215554e+02
408           	6.216637e+02
409           	6.217710e+02
410           	6.218775e+02
411           	6.219832e+02
412           	6.220880e+02
413           	6.221921e+02
414           	6.222952e+02
415           	6.223976e+02
416           	6.224992e+02
417           	6.226000e+02
418           	6.227000e+02
419           	6.227992e+02
420           	6.228976e+02
421           	6.229952e+02
422           	6.230921e+02
423           	6.231882e+02
424           	6.232836e+02
425           	6.233782e+02
426           	6.234721e+02
427           	6.235652e+02
428           	6.236576e+02
429           	6.237493e+02
430           	6.238403e+02
431           	6.239305e+02
432           	6.240200e+02
433           	6.241089e+02
434           	6.241970e+02
435           	6.242844e+02
436           	6.243712e+02
437           	6.244572e+02
438           	6.245426e+02
439           	6.246273e+02
440           	6.247114e+02
441           	6.247948e+02
442           	6.248775e+02
443           	6.249596e+02
444           	6.250410e+02
445           	6.251218e+02
446           	6.252020e+02
447           	6.252816e+02
448           	6.253605e+02
449           	6.254388e+02
450           	6.255165e+02
451           	6.255935e+02
452           	6.256700e+02
453           	6.257459e+02
454           	6.258212e+02
455           	6.258958e+02
456           	6.259699e+02
457           	6.260435e+02
458           	6.261164e+02
459           	6.261888e+02
460           	6.262606e+02
461           	6.263318e+02
462           	6.264025e+02
463           	6.264727e+02
464           	6.265422e+02
465           	6.266113e+02
466           	6.266798e+02
467           	6.267478e+02
468           	6.268152e+02
469           	6.268821e+02
470           	6.269485e+02
471           	6.270143e+02
472           	6.270797e+02
473           	6.271445e+02
474           	6.272088e+02
475           	6.272726e+02
476           	6.273360e+02
477           	6.273988e+02
478           	6.274611e+02
479           	6.275230e+02
480           	6.275843e+02
481           	6.276452e+02
482           	6.277056e+02
483           	6.277655e+02
484           	6.278250e+02
485           	6.278840e+02
486           	6.279425e+02
487           	6.280006e+02
488           	6.280582e+02
489           	6.281154e+02
490           	6.281721e+02
491           	6.282283e+02
492           	6.282842e+02
493           	6.283396e+02
494           	6.283945e+02
495           	6.284490e+02
496           	6.285031e+02
497           	6.285568e+02
498           	6.286101e+02
499           	6.286629e+02
500           	6.287153e+02
501           	6.287673e+02
502           	6.288189e+02
503           	6.288701e+02
504           	6.289209e+02
505           	6.289713e+02
506           	6.290213e+02
507           	6.290710e+02
508           	6.291202e+02
509           	6.291690e+02
510           	6.292175e+02
511           	6.292655e+02
512           	6.293132e+02
513           	6.293606e+02
514           	6.294075e+02
515           	6.294541e+02
516           	6.295003e+02
517           	6.295461e+02
518           	6.295916e+02
519           	6.296368e+02
520           	6.296815e+02
521           	6.297259e+02
522           	6.297700e+02
523           	6.298137e+02
524           	6.298571e+02
525           	6.299001e+02
526           	6.299427e+02
527           	6.299851e+02
528           	6.300271e+02
529           	6.300687e+02
530           	6.301100e+02
531           	6.301510e+02
532           	6.301917e+02
533           	6.302320e+02
534           	6.302720e+02
535           	6.303117e+02
536           	6.303511e+02
537           	6.303902e+02
538           	6.304290e+02
539           	6.304675e+02
540           	6.305056e+02
541           	6.305435e+02
542           	6.305811e+02
543           	6.306183e+02
544           	6.306553e+02
545           	6.306920e+02
546           	6.307284e+02
547           	6.307645e+02
548           	6.308004e+02
549           	6.308359e+02
550           	6.308712e+02
551           	6.309062e+02
552           	6.309409e+02
553           	6.309753e+02
554           	6.310095e+02
555           	6.310434e+02
556           	6.310770e+02
557           	6.311104e+02
558           	6.311435e+02
559           	6.311764e+02
560           	6.312089e+02
561           	6.312413e+02
562           	6.312733e+02
563           	6.313052e+02
564           	6.313367e+02
565           	6.313680e+02
566           	6.313991e+02
567           	6.314299e+02
568           	6.314605e+02
569           	6.314909e+02
570           	6.315210e+02
571           	6.315508e+02
572           	6.315805e+02
573           	6.316099e+02
574           	6.316390e+02
575           	6.316680e+02
576           	6.316967e+02
577           	6.317252e+02
578           	6.317534e+02
579           	6.317815e+02
580           	6.318093e+02
581           	6.318369e+02
582           	6.318643e+02
583           	6.318914e+02
584           	6.319184e+02
585           	6.319451e+02
586           	6.319717e+02
587           	6.319980e+02
588           	6.320241e+02
589           	6.320500e+02
590           	6.320757e+02
591           	6.321012e+02
592           	6.321265e+02
593           	6.321517e+02
594           	6.321766e+02
595           	6.322013e+02
596           	6.322258e+02
597           	6.322501e+02
598           	6.322743e+02
599           	6.322982e+02
600           	6.323220e+02
601           	6.323455e+02
602           	6.323689e+02
603           	6.323921e+02
604           	6.324152e+02
605           	6.324380e+02
606           	6.324607e+02
607           	6.324832e+02
608           	6.325055e+02
609           	6.325276e+02
610           	6.325496e+02
611           	6.325714e+02
612           	6.325930e+02
613           	6.326144e+02
614           	6.326357e+02
615           	6.326568e+02
616           	6.326778e+02
617           	6.326986e+02
618           	6.327192e+02
619           	6.327396e+02
620           	6.327599e+02
621           	6.327801e+02
622           	6.328001e+02
623           	6.328199e+02
624           	6.328395e+02
625           	6.328591e+02
626           	6.328784e+02
627           	6.328976e+02
628           	6.329167e+02
629           	6.329356e+02
630           	6.329544e+02
631           	6.329730e+02
632           	6.329915e+02
633           	6.330098e+02
634           	6.330280e+02
635           	6.330460e+02
636           	6.330639e+02
637           	6.330816e+02
638           	6.330993e+02
639           	6.331167e+02
640           	6.331341e+02
641           	6.331513e+02
642           	6.331684e+02
643           	6.331853e+02
644           	6.332021e+02
645           	6.332188e+02
646           	6.332353e+02
647           	6.332517e+02
648           	6.332680e+02
649           	6.332841e+02
650           	6.333002e+02
651           	6.333161e+02
652           	6.333318e+02
653           	6.333475e+02
654           	6.333630e+02
655           	6.333784e+02
656           	6.333937e+02
657           	6.334089e+02
658           	6.334239e+02
659           	6.334389e+02
660           	6.334537e+02
661           	6.334684e+02
662           	6.334829e+02
663           	6.334974e+02
664           	6.335118e+02
665           	6.335260e+02
666           	6.335401e+02
667           	6.335541e+02
668           	6.335680e+02
669           	6.335818e+02
670           	6.335955e+02
671           	6.336091e+02
672           	6.336226e+02
673           	6.336359e+02
674           	6.336492e+02
675           	6.336624e+02
676           	6.336754e+02
677           	6.336884e+02
678           	6.337012e+02
679           	6.337140e+02
680           	6.337266e+02
681           	6.337392e+02
682           	6.337516e+02
683           	6.337640e+02
684           	6.337762e+02
685           	6.337884e+02
686           	6.338004e+02
687           	6.338124e+02
688           	6.338243e+02
689           	6.338361e+02
690           	6.338478e+02
691           	6.338594e+02
692           	6.338709e+02
693           	6.338823e+02
694           	6.338936e+02
695           	6.339049e+02
696           	6.339160e+02
697           	6.339271e+02
698           	6.339380e+02
699           	6.339489e+02
700           	6.339597e+02
701           	6.339705e+02
702           	6.339811e+02
703           	6.339916e+02
704           	6.340021e+02
705           	6.340125e+02
706           	6.340228e+02
707           	6.340330e+02
708           	6.340432e+02
709           	6.340532e+02
710           	6.340632e+02
711           	6.340731e+02
712           	6.340830e+02
713           	6.340927e+02
714           	6.341024e+02
715           	6.341120e+02
716           	6.341215e+02
717           	6.341310e+02
718           	6.341403e+02
719           	6.341497e+02
720           	6.341589e+02
721           	6.341680e+02
722           	6.341771e+02
723           	6.341861e+02
724           	6.341951e+02
725           	6.342040e+02
726           	6.342128e+02
727           	6.342215e+02
728           	6.342302e+02
729           	6.342388e+02
730           	6.342473e+02
731           	6.342558e+02
732           	6.342642e+02
733           	6.342725e+02
734           	6.342808e+02
735           	6.342890e+02
736           	6.342971e+02
737           	6.343052e+02
738           	6.343132e+02
739           	6.343211e+02
740           	6.343290e+02
741           	6.343368e+02
742           	6.343446e+02
743           	6.343523e+02
744           	6.343600e+02
745           	6.343675e+02
746           	6.343751e+02
747           	6.343825e+02
748           	6.343899e+02
749           	6.343973e+02
750           	6.344046e+02
751           	6.344118e+02
752           	6.344190e+02
753           	6.344261e+02
754           	6.344331e+02
755           	6.344402e+02
756           	6.344471e+02
757           	6.344540e+02
758           	6.344609e+02
759           	6.344676e+02
760           	6.344744e+02
761           	6.344811e+02
762           	6.344877e+02
763           	6.344943e+02
764           	6.345008e+02
765           	6.345073e+02
766           	6.345137e+02
767           	6.345201e+02
768           	6.345264e+02
769           	6.345327e+02
770           	6.345389e+02
771           	6.345451e+02
772           	6.345512e+02
773           	6.345573e+02
774           	6.345633e+02
775           	6.345693e+02
776           	6.345753e+02
777           	6.345811e+02
778           	6.345870e+02
779           	6.345928e+02
780           	6.345985e+02
781           	6.346043e+02
782           	6.346099e+02
783           	6.346155e+02
784           	6.346211e+02
785           	6.346266e+02
786           	6.346321e+02
787           	6.346376e+02
788           	6.346430e+02
789           	6.346483e+02
790           	6.346537e+02
791           	6.346589e+02
792           	6.346642e+02
793           	6.346694e+02
794           	6.346745e+02
795           	6.346796e+02
796           	6.346847e+02
797           	6.346898e+02
798           	6.346947e+02
799           	6.346997e+02
800           	6.347046e+02
801           	6.347095e+02
802           	6.347143e+02
803           	6.347191e+02
804           	6.347239e+02
805           	6.347286e+02
806           	6.347333e+02
807           	6.347380e+02
808           	6.347426e+02
809           	6.347472e+02
810           	6.347517e+02
811           	6.347562e+02
812           	6.347607e+02
813           	6.347651e+02
814           	6.347695e+02
815           	6.347739e+02
816           	6.347782e+02
817           	6.347825e+02
818           	6.347868e+02
819           	6.347910e+02
820           	6.347952e+02
821           	6.347994e+02
822           	6.348035e+02
823           	6.348076e+02
824           	6.348117e+02
825           	6.348158e+02
826           	6.348198e+02
827           	6.348237e+02
828           	6.348277e+02
829           	6.348316e+02
830           	6.348355e+02
831           	6.348393e+02
832           	6.348432e+02
833           	6.348469e+02
834           	6.348507e+02
835           	6.348544e+02
836           	6.348581e+02
837           	6.348618e+02
838           	6.348655e+02
839           	6.348691e+02
840           	6.348727e+02
841           	6.348762e+02
842           	6.348798e+02
843           	6.348833e+02
844           	6.348868e+02
845           	6.348902e+02
846           	6.348936e+02
847           	6.348970e+02
848           	6.349004e+02
849           	6.349037e+02
850           	6.349071e+02
851           	6.349103e+02
852           	6.349136e+02
853           	6.349169e+02
854           	6.349201e+02
855           	6.349233e+02
856           	6.349264e+02
857           	6.349296e+02
858           	6.349327e+02
859           	6.349358e+02
860           	6.349388e+02
861           	6.349419e+02
862           	6.349449e+02
863           	6.349479e+02
864           	6.349509e+02
865           	6.349538e+02
866           	6.349567e+02
867           	6.349596e+02
868           	6.349625e+02
869           	6.349654e+02
870           	6.349682e+02
871           	6.349710e+02
872           	6.349738e+02
873           	6.349766e+02
874           	6.349793e+02
875           	6.349821e+02
876           	6.349848e+02
877           	6.349874e+02
878           	6.349901e+02
879           	6.349928e+02
880           	6.349954e+02
881           	6.349980e+02
882           	6.350006e+02
883           	6.350031e+02
884           	6.350056e+02
885           	6.350082e+02
886           	6.350107e+02
887           	6.350131e+02
888           	6.350156e+02
889           	6.350180e+02
890           	6.350205e+02
891           	6.350229e+02
892           	6.350253e+02
893           	6.350276e+02
894           	6.350300e+02
895           	6.350323e+02
896           	6.350346e+02
897           	6.350369e+02
898           	6.350392e+02
899           	6.350414e+02
900           	6.350437e+02
901           	6.350459e+02
902           	6.350481e+02
903           	6.350503e+02
904           	6.350525e+02
905           	6.350546e+02
906           	6.350567e+02
907           	6.350589e+02
908           	6.350610e+02
909           	6.350630e+02
910           	6.350651e+02
911           	6.350672e+02
912           	6.350692e+02
913           	6.350712e+02
914           	6.350732e+02
915           	6.350752e+02
916           	6.350772e+02
917           	6.350792e+02
918           	6.350811e+02
919           	6.350830e+02
920           	6.350849e+02
921           	6.350868e+02
922           	6.350887e+02
923           	6.350906e+02
924           	6.350924e+02
925           	6.350943e+02
926           	6.350961e+02
927           	6.350979e+02
928           	6.350997e+02
929           	6.351015e+02
930           	6.351033e+02
931           	6.351050e+02
932           	6.351068e+02
933           	6.351085e+02
934           	6.351102e+02
935           	6.351119e+02
936           	6.351136e+02
937           	6.351153e+02
938           	6.351169e+02
939           	6.351186e+02
940           	6.351202e+02
941           	6.351218e+02
942           	6.351234e+02
943           	6.351250e+02
944           	6.351266e+02
945           	6.351282e+02
946           	6.351298e+02
947           	6.351313e+02
948           	6.351328e+02
949           	6.351344e+02
950           	6.351359e+02
951           	6.351374e+02
952           	6.351389e+02
953           	6.351403e+02
954           	6.351418e+02
955           	6.351433e+02
956           	6.351447e+02
957           	6.351461e+02
958           	6.351475e+02
959           	6.351490e+02
960           	6.351504e+02
961           	6.351517e+02
962           	6.351531e+02
963           	6.351545e+02
964           	6.351558e+02
965           	6.351572e+02
966           	6.351585e+02
967           	6.351598e+02
968           	6.351611e+02
969           	6.351624e+02
970           	6.351637e+02
971           	6.351650e+02
972           	6.351663e+02
973           	6.351675e+02
974           	6.351688e+02
975           	6.351700e+02
976           	6.351713e+02
977           	6.351725e+02
978           	6.351737e+02
979           	6.351749e+02
980           	6.351761e+02
981           	6.351773e+02
982           	6.351785e+02
983           	6.351796e+02
984           	6.351808e+02
985           	6.351819e+02
986           	6.351831e+02
987           	6.351842e+02
988           	6.351853e+02
989           	6.351864e+02
990           	6.351875e+02
991           	6.351886e+02
992           	6.351897e+02
993           	6.351908e+02
994           	6.351919e+02
995           	6.351929e+02
996           	6.351940e+02
997           	6.351950e+02
998           	6.351961e+02
999           	6.351971e+02
1000          	6.351981e+02
1001          	6.351991e+02
1002          	6.352001e+02
1003          	6.352011e+02
1004          	6.352021e+02
1005          	6.352031e+02
1006          	6.352041e+02
1007          	6.352050e+02
1008          	6.352060e+02
1009          	6.352069e+02
1010          	6.352079e+02
1011          	6.352088e+02
1012          	6.352097e+02
1013          	6.352107e+02
1014          	6.352116e+02
1015          	6.352125e+02
1016          	6.352134e+02
1017          	6.352143e+02
1018          	6.352152e+02
1019          	6.352160e+02
1020          	6.352169e+02
1021          	6.352178e+02
1022          	6.352186e+02
1023          	6.352195e+02
1024          	6.352203e+02
1025          	6.352212e+02
1026          	6.352220e+02
1027          	6.352228e+02
1028          	6.352237e+02
1029          	6.352245e+02
1030          	6.352253e+02
1031          	6.352261e+02
1032          	6.352269e+02
1033          	6.352277e+02
1034          	6.352284e+02
1035          	6.352292e+02
1036          	6.352300e+02
1037          	6.352307e+02
1038          	6.352315e+02
1039          	6.352322e+02
1040          	6.352330e+02
1041          	6.352337e+02
1042          	6.352345e+02
1043          	6.352352e+02
1044          	6.352359e+02
1045          	6.352366e+02
