# Region      : all 
# Cells       : 2335
# Volume      : 3.333489e-06
# Time        	max(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.995283e+02
3             	3.017772e+02
4             	3.040573e+02
5             	3.063207e+02
6             	3.085671e+02
7             	3.107964e+02
8             	3.130085e+02
9             	3.152036e+02
10            	3.173819e+02
11            	3.195464e+02
12            	3.217187e+02
13            	3.238755e+02
14            	3.260170e+02
15            	3.281432e+02
16            	3.302544e+02
17            	3.323507e+02
18            	3.344322e+02
19            	3.364991e+02
20            	3.385515e+02
21            	3.405895e+02
22            	3.426133e+02
23            	3.446231e+02
24            	3.466188e+02
25            	3.486007e+02
26            	3.505689e+02
27            	3.525234e+02
28            	3.544645e+02
29            	3.563923e+02
30            	3.583067e+02
31            	3.602077e+02
32            	3.620953e+02
33            	3.639694e+02
34            	3.658300e+02
35            	3.676770e+02
36            	3.695106e+02
37            	3.713308e+02
38            	3.731376e+02
39            	3.749309e+02
40            	3.767110e+02
41            	3.784779e+02
42            	3.802317e+02
43            	3.819724e+02
44            	3.837003e+02
45            	3.854153e+02
46            	3.871176e+02
47            	3.888073e+02
48            	3.904845e+02
49            	3.921492e+02
50            	3.938017e+02
51            	3.954419e+02
52            	3.970700e+02
53            	3.986861e+02
54            	4.002902e+02
55            	4.018824e+02
56            	4.034629e+02
57            	4.050316e+02
58            	4.065887e+02
59            	4.081343e+02
60            	4.096685e+02
61            	4.111914e+02
62            	4.127029e+02
63            	4.142034e+02
64            	4.156927e+02
65            	4.171711e+02
66            	4.186385e+02
67            	4.200951e+02
68            	4.215410e+02
69            	4.229762e+02
70            	4.244008e+02
71            	4.258149e+02
72            	4.272186e+02
73            	4.286120e+02
74            	4.299951e+02
75            	4.313681e+02
76            	4.327309e+02
77            	4.340836e+02
78            	4.354264e+02
79            	4.367593e+02
80            	4.380824e+02
81            	4.393957e+02
82            	4.406993e+02
83            	4.419933e+02
84            	4.432778e+02
85            	4.445527e+02
86            	4.458183e+02
87            	4.470745e+02
88            	4.483215e+02
89            	4.495592e+02
90            	4.507878e+02
91            	4.520073e+02
92            	4.532179e+02
93            	4.544195e+02
94            	4.556122e+02
95            	4.567961e+02
96            	4.579713e+02
97            	4.591378e+02
98            	4.602957e+02
99            	4.614451e+02
100           	4.625859e+02
101           	4.637184e+02
102           	4.648424e+02
103           	4.659582e+02
104           	4.670657e+02
105           	4.681649e+02
106           	4.692561e+02
107           	4.703392e+02
108           	4.714142e+02
109           	4.724812e+02
110           	4.735404e+02
111           	4.745918e+02
112           	4.756360e+02
113           	4.766725e+02
114           	4.777013e+02
115           	4.787225e+02
116           	4.797361e+02
117           	4.807421e+02
118           	4.817407e+02
119           	4.827319e+02
120           	4.837157e+02
121           	4.846922e+02
122           	4.856614e+02
123           	4.866234e+02
