# Region      : all 
# Cells       : 651
# Volume      : 1.000000e-06
# Time        	volAverage(T)
0             	2.969000e+02
1             	3.088704e+02
2             	3.112544e+02
3             	3.137425e+02
4             	3.161450e+02
5             	3.184939e+02
6             	3.208028e+02
7             	3.230808e+02
8             	3.253333e+02
9             	3.275639e+02
10            	3.297749e+02
11            	3.319678e+02
12            	3.341436e+02
13            	3.363029e+02
14            	3.384463e+02
15            	3.405741e+02
16            	3.426866e+02
17            	3.447841e+02
18            	3.468667e+02
19            	3.489346e+02
20            	3.509879e+02
21            	3.530268e+02
22            	3.550515e+02
23            	3.570620e+02
24            	3.590585e+02
25            	3.610410e+02
26            	3.630098e+02
27            	3.649648e+02
28            	3.669063e+02
29            	3.688343e+02
30            	3.707489e+02
31            	3.726502e+02
32            	3.745381e+02
33            	3.764129e+02
34            	3.782746e+02
35            	3.801233e+02
36            	3.819591e+02
37            	3.837820e+02
38            	3.855920e+02
39            	3.873894e+02
40            	3.891741e+02
41            	3.909463e+02
42            	3.927060e+02
43            	3.944534e+02
44            	3.961885e+02
45            	3.979114e+02
46            	3.996220e+02
47            	4.013206e+02
48            	4.030072e+02
49            	4.046818e+02
50            	4.063446e+02
51            	4.079956e+02
52            	4.096350e+02
53            	4.112627e+02
54            	4.128789e+02
55            	4.144837e+02
56            	4.160772e+02
57            	4.176593e+02
58            	4.192303e+02
59            	4.207902e+02
60            	4.223390e+02
61            	4.238769e+02
62            	4.254039e+02
63            	4.269201e+02
64            	4.284256e+02
65            	4.299205e+02
66            	4.314048e+02
67            	4.328786e+02
68            	4.343421e+02
69            	4.357952e+02
70            	4.372381e+02
71            	4.386708e+02
72            	4.400935e+02
73            	4.415061e+02
74            	4.429088e+02
75            	4.443017e+02
76            	4.456847e+02
77            	4.470579e+02
78            	4.484215e+02
79            	4.497753e+02
80            	4.511197e+02
81            	4.524545e+02
82            	4.537800e+02
83            	4.550961e+02
84            	4.564029e+02
85            	4.577005e+02
86            	4.589889e+02
87            	4.602682e+02
88            	4.615384e+02
89            	4.627996e+02
90            	4.640519e+02
91            	4.652953e+02
92            	4.665300e+02
93            	4.677560e+02
94            	4.689733e+02
95            	4.701821e+02
96            	4.713822e+02
97            	4.725739e+02
98            	4.737571e+02
99            	4.749320e+02
100           	4.760985e+02
101           	4.772568e+02
102           	4.784069e+02
103           	4.795488e+02
104           	4.806827e+02
105           	4.818085e+02
106           	4.829264e+02
107           	4.840364e+02
108           	4.851386e+02
109           	4.862328e+02
110           	4.873194e+02
111           	4.883981e+02
112           	4.894693e+02
113           	4.905328e+02
114           	4.915887e+02
115           	4.926372e+02
116           	4.936782e+02
117           	4.947118e+02
118           	4.957381e+02
119           	4.967570e+02
120           	4.977688e+02
121           	4.987733e+02
122           	4.997706e+02
123           	5.007608e+02
124           	5.017440e+02
125           	5.027201e+02
126           	5.036892e+02
127           	5.046514e+02
128           	5.056068e+02
129           	5.065553e+02
130           	5.074970e+02
131           	5.084320e+02
132           	5.093603e+02
133           	5.102820e+02
134           	5.111971e+02
135           	5.121056e+02
136           	5.130076e+02
137           	5.139033e+02
138           	5.147925e+02
139           	5.156753e+02
140           	5.165519e+02
141           	5.174222e+02
