# Region      : all 
# Cells       : 2821
# Volume      : 4.097527e-06
# Time        	max(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.994239e+02
3             	3.016491e+02
4             	3.038903e+02
5             	3.061231e+02
6             	3.083384e+02
7             	3.105353e+02
8             	3.127135e+02
9             	3.148730e+02
10            	3.170143e+02
11            	3.191387e+02
12            	3.212502e+02
13            	3.233444e+02
14            	3.254217e+02
15            	3.274823e+02
16            	3.295264e+02
17            	3.315544e+02
18            	3.335665e+02
19            	3.355628e+02
20            	3.375437e+02
21            	3.395096e+02
22            	3.414605e+02
23            	3.433969e+02
24            	3.453187e+02
25            	3.472263e+02
26            	3.491199e+02
27            	3.509995e+02
28            	3.528653e+02
29            	3.547173e+02
30            	3.565551e+02
31            	3.583781e+02
32            	3.601859e+02
33            	3.619781e+02
34            	3.637544e+02
35            	3.655144e+02
36            	3.672582e+02
37            	3.689854e+02
38            	3.706962e+02
39            	3.723903e+02
40            	3.740680e+02
41            	3.757291e+02
42            	3.773735e+02
43            	3.790012e+02
44            	3.806121e+02
45            	3.822064e+02
46            	3.837842e+02
47            	3.853456e+02
48            	3.868909e+02
49            	3.884202e+02
50            	3.899338e+02
51            	3.914316e+02
52            	3.929138e+02
53            	3.943806e+02
54            	3.958322e+02
55            	3.972686e+02
56            	3.986902e+02
57            	4.000970e+02
58            	4.014892e+02
59            	4.028670e+02
60            	4.042305e+02
61            	4.055799e+02
62            	4.069153e+02
63            	4.082369e+02
64            	4.095448e+02
65            	4.108393e+02
66            	4.121203e+02
67            	4.133882e+02
68            	4.146430e+02
69            	4.158848e+02
70            	4.171138e+02
71            	4.183302e+02
72            	4.195339e+02
73            	4.207253e+02
74            	4.219043e+02
75            	4.230711e+02
76            	4.242258e+02
77            	4.253685e+02
78            	4.264993e+02
79            	4.276184e+02
80            	4.287257e+02
81            	4.298215e+02
82            	4.309058e+02
83            	4.319787e+02
84            	4.330403e+02
85            	4.340907e+02
86            	4.351299e+02
87            	4.361580e+02
88            	4.371753e+02
89            	4.381816e+02
90            	4.391773e+02
91            	4.401623e+02
92            	4.411369e+02
93            	4.421010e+02
94            	4.430548e+02
95            	4.439984e+02
96            	4.449320e+02
97            	4.458555e+02
98            	4.467691e+02
99            	4.476729e+02
100           	4.485670e+02
101           	4.494515e+02
102           	4.503265e+02
103           	4.511921e+02
104           	4.520484e+02
105           	4.528955e+02
106           	4.537335e+02
107           	4.545624e+02
108           	4.553823e+02
109           	4.561933e+02
110           	4.569955e+02
111           	4.577889e+02
112           	4.585736e+02
113           	4.593498e+02
114           	4.601174e+02
115           	4.608766e+02
116           	4.616273e+02
117           	4.623698e+02
118           	4.631040e+02
119           	4.638300e+02
120           	4.645480e+02
121           	4.652581e+02
122           	4.659602e+02
123           	4.666545e+02
