# Region      : all 
# Cells       : 2821
# Volume      : 4.097527e-06
# Time        	volAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.991132e+02
3             	3.012821e+02
4             	3.034631e+02
5             	3.056328e+02
6             	3.077903e+02
7             	3.099322e+02
8             	3.120573e+02
9             	3.141652e+02
10            	3.162557e+02
11            	3.183289e+02
12            	3.203853e+02
13            	3.224253e+02
14            	3.244494e+02
15            	3.264574e+02
16            	3.284499e+02
17            	3.304269e+02
18            	3.323888e+02
19            	3.343355e+02
20            	3.362676e+02
21            	3.381855e+02
22            	3.400894e+02
23            	3.419792e+02
24            	3.438552e+02
25            	3.457175e+02
26            	3.475664e+02
27            	3.494017e+02
28            	3.512237e+02
29            	3.530323e+02
30            	3.548264e+02
31            	3.566050e+02
32            	3.583680e+02
33            	3.601150e+02
34            	3.618452e+02
35            	3.635587e+02
36            	3.652556e+02
37            	3.669359e+02
38            	3.685995e+02
39            	3.702466e+02
40            	3.718771e+02
41            	3.734912e+02
42            	3.750884e+02
43            	3.766687e+02
44            	3.782323e+02
45            	3.797794e+02
46            	3.813103e+02
47            	3.828251e+02
48            	3.843242e+02
49            	3.858078e+02
50            	3.872761e+02
51            	3.887290e+02
52            	3.901666e+02
53            	3.915894e+02
54            	3.929973e+02
55            	3.943906e+02
56            	3.957695e+02
57            	3.971341e+02
58            	3.984845e+02
59            	3.998209e+02
60            	4.011434e+02
61            	4.024523e+02
62            	4.037476e+02
63            	4.050296e+02
64            	4.062983e+02
65            	4.075540e+02
66            	4.087968e+02
67            	4.100268e+02
68            	4.112442e+02
69            	4.124490e+02
70            	4.136413e+02
71            	4.148214e+02
72            	4.159893e+02
73            	4.171451e+02
74            	4.182890e+02
75            	4.194210e+02
76            	4.205412e+02
77            	4.216497e+02
78            	4.227467e+02
79            	4.238322e+02
80            	4.249062e+02
81            	4.259690e+02
82            	4.270206e+02
83            	4.280610e+02
84            	4.290904e+02
85            	4.301088e+02
86            	4.311162e+02
87            	4.321128e+02
88            	4.330988e+02
89            	4.340742e+02
90            	4.350392e+02
91            	4.359939e+02
92            	4.369384e+02
93            	4.378727e+02
94            	4.387972e+02
95            	4.397116e+02
96            	4.406163e+02
97            	4.415113e+02
98            	4.423966e+02
99            	4.432723e+02
100           	4.441387e+02
101           	4.449958e+02
102           	4.458437e+02
103           	4.466825e+02
104           	4.475123e+02
105           	4.483332e+02
106           	4.491451e+02
107           	4.499482e+02
108           	4.507424e+02
109           	4.515279e+02
110           	4.523049e+02
111           	4.530733e+02
112           	4.538333e+02
113           	4.545849e+02
114           	4.553281e+02
115           	4.560631e+02
116           	4.567898e+02
117           	4.575084e+02
118           	4.582190e+02
119           	4.589217e+02
120           	4.596165e+02
121           	4.603036e+02
122           	4.609830e+02
