# Region type : patch heater_to_fins
# Faces  :    64
# Area   :    1.000000e-04
# Time        	areaAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.991800e+02
3             	3.014081e+02
4             	3.036434e+02
5             	3.058697e+02
6             	3.080825e+02
7             	3.102794e+02
8             	3.124591e+02
9             	3.146211e+02
10            	3.167653e+02
11            	3.188916e+02
12            	3.210003e+02
13            	3.230916e+02
14            	3.251661e+02
15            	3.272238e+02
16            	3.292652e+02
17            	3.312904e+02
18            	3.332997e+02
19            	3.352933e+02
20            	3.372715e+02
21            	3.392346e+02
22            	3.411829e+02
23            	3.431165e+02
24            	3.450358e+02
25            	3.469408e+02
26            	3.488318e+02
27            	3.507089e+02
28            	3.525722e+02
29            	3.544218e+02
30            	3.562573e+02
31            	3.580781e+02
32            	3.598838e+02
33            	3.616741e+02
34            	3.634486e+02
35            	3.652068e+02
36            	3.669488e+02
37            	3.686745e+02
38            	3.703836e+02
39            	3.720761e+02
40            	3.737522e+02
41            	3.754117e+02
42            	3.770547e+02
43            	3.786808e+02
44            	3.802902e+02
45            	3.818829e+02
46            	3.834592e+02
47            	3.850190e+02
48            	3.865628e+02
49            	3.880905e+02
50            	3.896025e+02
51            	3.910988e+02
52            	3.925795e+02
53            	3.940449e+02
54            	3.954950e+02
55            	3.969300e+02
56            	3.983502e+02
57            	3.997556e+02
58            	4.011464e+02
59            	4.025229e+02
60            	4.038850e+02
61            	4.052331e+02
62            	4.065672e+02
63            	4.078875e+02
64            	4.091942e+02
65            	4.104874e+02
66            	4.117672e+02
67            	4.130339e+02
68            	4.142875e+02
69            	4.155281e+02
70            	4.167560e+02
71            	4.179712e+02
72            	4.191738e+02
73            	4.203640e+02
74            	4.215419e+02
75            	4.227077e+02
76            	4.238613e+02
77            	4.250029e+02
78            	4.261327e+02
79            	4.272507e+02
80            	4.283571e+02
81            	4.294518e+02
82            	4.305351e+02
83            	4.316070e+02
84            	4.326676e+02
85            	4.337170e+02
86            	4.347552e+02
87            	4.357824e+02
88            	4.367986e+02
89            	4.378040e+02
90            	4.387986e+02
91            	4.397827e+02
92            	4.407562e+02
93            	4.417194e+02
94            	4.426723e+02
95            	4.436149e+02
96            	4.445475e+02
97            	4.454701e+02
98            	4.463828e+02
99            	4.472856e+02
100           	4.481788e+02
101           	4.490624e+02
102           	4.499365e+02
103           	4.508013e+02
104           	4.516567e+02
105           	4.525029e+02
106           	4.533401e+02
107           	4.541681e+02
108           	4.549872e+02
109           	4.557973e+02
110           	4.565986e+02
111           	4.573912e+02
112           	4.581752e+02
113           	4.589505e+02
114           	4.597173e+02
115           	4.604756e+02
116           	4.612256e+02
117           	4.619672e+02
118           	4.627006e+02
119           	4.634259e+02
120           	4.641431e+02
121           	4.648523e+02
122           	4.655537e+02
