# Region      : all 
# Cells       : 667
# Volume      : 1.000000e-06
# Time        	max(T)
0             	2.969000e+02
1             	3.143561e+02
2             	3.166740e+02
3             	3.192200e+02
4             	3.216353e+02
5             	3.239742e+02
6             	3.262558e+02
7             	3.284954e+02
8             	3.307005e+02
9             	3.328766e+02
10            	3.350278e+02
11            	3.371569e+02
12            	3.392656e+02
13            	3.413555e+02
14            	3.434275e+02
15            	3.454822e+02
16            	3.475201e+02
17            	3.495417e+02
18            	3.515473e+02
19            	3.535371e+02
20            	3.555116e+02
21            	3.574709e+02
22            	3.594156e+02
23            	3.613456e+02
24            	3.632613e+02
25            	3.651627e+02
26            	3.670502e+02
27            	3.689238e+02
28            	3.707836e+02
29            	3.726297e+02
30            	3.744615e+02
31            	3.762785e+02
32            	3.780804e+02
33            	3.798667e+02
34            	3.816371e+02
35            	3.833912e+02
36            	3.851290e+02
37            	3.868504e+02
38            	3.885553e+02
39            	3.902437e+02
40            	3.919155e+02
41            	3.935708e+02
42            	3.952095e+02
43            	3.968314e+02
44            	3.984365e+02
45            	4.000250e+02
46            	4.015971e+02
47            	4.031528e+02
48            	4.046925e+02
49            	4.062162e+02
50            	4.077242e+02
51            	4.092166e+02
52            	4.106934e+02
53            	4.121548e+02
54            	4.136011e+02
55            	4.150324e+02
56            	4.164488e+02
57            	4.178505e+02
58            	4.192377e+02
59            	4.206105e+02
60            	4.219691e+02
61            	4.233136e+02
62            	4.246442e+02
63            	4.259611e+02
64            	4.272644e+02
65            	4.285542e+02
66            	4.298307e+02
67            	4.310940e+02
68            	4.323443e+02
69            	4.335818e+02
70            	4.348064e+02
71            	4.360184e+02
72            	4.372179e+02
73            	4.384050e+02
74            	4.395798e+02
75            	4.407425e+02
76            	4.418931e+02
77            	4.430318e+02
78            	4.441586e+02
79            	4.452736e+02
80            	4.463770e+02
81            	4.474689e+02
82            	4.485493e+02
83            	4.496183e+02
84            	4.506761e+02
85            	4.517226e+02
86            	4.527580e+02
87            	4.537824e+02
88            	4.547959e+02
89            	4.557986e+02
90            	4.567905e+02
91            	4.577719e+02
92            	4.587428e+02
93            	4.597034e+02
94            	4.606537e+02
95            	4.615938e+02
96            	4.625238e+02
97            	4.634439e+02
98            	4.643540e+02
99            	4.652544e+02
100           	4.661452e+02
101           	4.670263e+02
102           	4.678981e+02
103           	4.687604e+02
104           	4.696135e+02
105           	4.704574e+02
106           	4.712923e+02
107           	4.721180e+02
108           	4.729348e+02
109           	4.737427e+02
110           	4.745418e+02
111           	4.753322e+02
112           	4.761139e+02
113           	4.768871e+02
114           	4.776517e+02
115           	4.784079e+02
116           	4.791558e+02
117           	4.798953e+02
118           	4.806266e+02
119           	4.813498e+02
120           	4.820650e+02
121           	4.827722e+02
122           	4.834716e+02
123           	4.841632e+02
124           	4.848471e+02
125           	4.855233e+02
126           	4.861920e+02
127           	4.868532e+02
128           	4.875071e+02
129           	4.881537e+02
130           	4.887930e+02
131           	4.894251e+02
132           	4.900502e+02
133           	4.906683e+02
134           	4.912794e+02
135           	4.918838e+02
136           	4.924814e+02
137           	4.930723e+02
138           	4.936565e+02
139           	4.942341e+02
140           	4.948052e+02
141           	4.953698e+02
142           	4.959280e+02
143           	4.964799e+02
144           	4.970255e+02
145           	4.975649e+02
146           	4.980982e+02
147           	4.986255e+02
148           	4.991467e+02
149           	4.996621e+02
150           	5.001715e+02
151           	5.006751e+02
152           	5.011730e+02
153           	5.016652e+02
154           	5.021517e+02
155           	5.026326e+02
156           	5.031081e+02
157           	5.035780e+02
158           	5.040425e+02
159           	5.045016e+02
160           	5.049553e+02
161           	5.054038e+02
162           	5.058471e+02
163           	5.062852e+02
164           	5.067183e+02
165           	5.071464e+02
166           	5.075694e+02
167           	5.079876e+02
168           	5.084010e+02
169           	5.088096e+02
170           	5.092134e+02
171           	5.096124e+02
172           	5.100068e+02
173           	5.103965e+02
174           	5.107816e+02
175           	5.111620e+02
176           	5.115380e+02
177           	5.119094e+02
178           	5.122764e+02
179           	5.126390e+02
180           	5.129972e+02
181           	5.133512e+02
182           	5.137009e+02
183           	5.140464e+02
184           	5.143878e+02
185           	5.147251e+02
186           	5.150583e+02
187           	5.153877e+02
188           	5.157131e+02
189           	5.160347e+02
190           	5.163524e+02
191           	5.166665e+02
192           	5.169768e+02
193           	5.172835e+02
194           	5.175865e+02
195           	5.178861e+02
196           	5.181822e+02
197           	5.184748e+02
198           	5.187641e+02
199           	5.190500e+02
200           	5.193326e+02
201           	5.196119e+02
202           	5.198879e+02
203           	5.201608e+02
204           	5.204305e+02
205           	5.206970e+02
206           	5.209606e+02
207           	5.212210e+02
208           	5.214785e+02
209           	5.217330e+02
210           	5.219846e+02
211           	5.222332e+02
212           	5.224790e+02
213           	5.227220e+02
214           	5.229621e+02
215           	5.231995e+02
216           	5.234342e+02
217           	5.236661e+02
218           	5.238954e+02
219           	5.241221e+02
220           	5.243462e+02
221           	5.245678e+02
222           	5.247868e+02
223           	5.250033e+02
224           	5.252173e+02
225           	5.254289e+02
