# Region      : all 
# Cells       : 667
# Volume      : 1.000000e-06
# Time        	volAverage(T)
0             	2.969000e+02
1             	3.087143e+02
2             	3.110827e+02
3             	3.135561e+02
4             	3.159181e+02
5             	3.182192e+02
6             	3.204751e+02
7             	3.226965e+02
8             	3.248895e+02
9             	3.270579e+02
10            	3.292043e+02
11            	3.313303e+02
12            	3.334370e+02
13            	3.355256e+02
14            	3.375968e+02
15            	3.396508e+02
16            	3.416884e+02
17            	3.437097e+02
18            	3.457151e+02
19            	3.477047e+02
20            	3.496790e+02
21            	3.516382e+02
22            	3.535827e+02
23            	3.555127e+02
24            	3.574282e+02
25            	3.593296e+02
26            	3.612169e+02
27            	3.630904e+02
28            	3.649502e+02
29            	3.667962e+02
30            	3.686280e+02
31            	3.704449e+02
32            	3.722467e+02
33            	3.740329e+02
34            	3.758032e+02
35            	3.775572e+02
36            	3.792950e+02
37            	3.810163e+02
38            	3.827211e+02
39            	3.844094e+02
40            	3.860812e+02
41            	3.877364e+02
42            	3.893750e+02
43            	3.909967e+02
44            	3.926018e+02
45            	3.941902e+02
46            	3.957621e+02
47            	3.973178e+02
48            	3.988573e+02
49            	4.003810e+02
50            	4.018889e+02
51            	4.033811e+02
52            	4.048578e+02
53            	4.063191e+02
54            	4.077653e+02
55            	4.091964e+02
56            	4.106127e+02
57            	4.120144e+02
58            	4.134014e+02
59            	4.147741e+02
60            	4.161326e+02
61            	4.174770e+02
62            	4.188075e+02
63            	4.201243e+02
64            	4.214274e+02
65            	4.227171e+02
66            	4.239935e+02
67            	4.252567e+02
68            	4.265069e+02
69            	4.277443e+02
70            	4.289688e+02
71            	4.301807e+02
72            	4.313801e+02
73            	4.325671e+02
74            	4.337418e+02
75            	4.349044e+02
76            	4.360549e+02
77            	4.371934e+02
78            	4.383201e+02
79            	4.394351e+02
80            	4.405384e+02
81            	4.416301e+02
82            	4.427105e+02
83            	4.437794e+02
84            	4.448371e+02
85            	4.458835e+02
86            	4.469189e+02
87            	4.479432e+02
88            	4.489565e+02
89            	4.499591e+02
90            	4.509510e+02
91            	4.519323e+02
92            	4.529032e+02
93            	4.538636e+02
94            	4.548138e+02
95            	4.557539e+02
96            	4.566839e+02
97            	4.576038e+02
98            	4.585140e+02
99            	4.594143e+02
100           	4.603050e+02
101           	4.611861e+02
102           	4.620577e+02
103           	4.629200e+02
104           	4.637731e+02
105           	4.646169e+02
106           	4.654517e+02
107           	4.662774e+02
108           	4.670941e+02
109           	4.679020e+02
110           	4.687010e+02
111           	4.694913e+02
112           	4.702730e+02
113           	4.710461e+02
114           	4.718107e+02
115           	4.725669e+02
116           	4.733147e+02
117           	4.740541e+02
118           	4.747854e+02
119           	4.755086e+02
120           	4.762237e+02
121           	4.769309e+02
122           	4.776302e+02
123           	4.783217e+02
124           	4.790055e+02
125           	4.796817e+02
126           	4.803504e+02
127           	4.810116e+02
128           	4.816654e+02
129           	4.823119e+02
130           	4.829512e+02
131           	4.835833e+02
132           	4.842083e+02
133           	4.848263e+02
134           	4.854374e+02
135           	4.860417e+02
136           	4.866393e+02
137           	4.872301e+02
138           	4.878143e+02
139           	4.883918e+02
140           	4.889629e+02
141           	4.895274e+02
142           	4.900856e+02
143           	4.906374e+02
144           	4.911830e+02
145           	4.917224e+02
146           	4.922557e+02
147           	4.927829e+02
148           	4.933041e+02
149           	4.938194e+02
150           	4.943288e+02
151           	4.948324e+02
152           	4.953302e+02
153           	4.958223e+02
154           	4.963088e+02
155           	4.967897e+02
156           	4.972651e+02
157           	4.977350e+02
158           	4.981994e+02
159           	4.986585e+02
160           	4.991122e+02
161           	4.995607e+02
162           	5.000039e+02
163           	5.004420e+02
164           	5.008750e+02
165           	5.013031e+02
166           	5.017261e+02
167           	5.021443e+02
168           	5.025576e+02
169           	5.029661e+02
170           	5.033699e+02
171           	5.037689e+02
172           	5.041633e+02
173           	5.045529e+02
174           	5.049380e+02
175           	5.053184e+02
176           	5.056943e+02
177           	5.060657e+02
178           	5.064326e+02
179           	5.067952e+02
180           	5.071534e+02
181           	5.075073e+02
182           	5.078570e+02
183           	5.082025e+02
184           	5.085438e+02
185           	5.088811e+02
186           	5.092143e+02
187           	5.095436e+02
188           	5.098690e+02
189           	5.101906e+02
190           	5.105083e+02
191           	5.108223e+02
192           	5.111326e+02
193           	5.114392e+02
194           	5.117423e+02
195           	5.120418e+02
196           	5.123379e+02
197           	5.126305e+02
198           	5.129197e+02
199           	5.132056e+02
200           	5.134881e+02
201           	5.137674e+02
202           	5.140434e+02
203           	5.143163e+02
204           	5.145859e+02
205           	5.148525e+02
206           	5.151159e+02
207           	5.153764e+02
208           	5.156338e+02
209           	5.158883e+02
210           	5.161399e+02
211           	5.163885e+02
212           	5.166343e+02
213           	5.168772e+02
214           	5.171173e+02
215           	5.173547e+02
216           	5.175893e+02
217           	5.178212e+02
218           	5.180505e+02
219           	5.182772e+02
220           	5.185013e+02
221           	5.187228e+02
222           	5.189418e+02
223           	5.191583e+02
224           	5.193723e+02
225           	5.195839e+02
226           	5.197930e+02
227           	5.199998e+02
228           	5.202041e+02
229           	5.204062e+02
230           	5.206059e+02
231           	5.208033e+02
232           	5.209984e+02
233           	5.211913e+02
234           	5.213820e+02
235           	5.215705e+02
236           	5.217569e+02
237           	5.219410e+02
238           	5.221231e+02
239           	5.223030e+02
240           	5.224808e+02
241           	5.226565e+02
242           	5.228301e+02
243           	5.230017e+02
244           	5.231713e+02
245           	5.233388e+02
246           	5.235044e+02
247           	5.236680e+02
248           	5.238296e+02
249           	5.239893e+02
250           	5.241471e+02
251           	5.243031e+02
252           	5.244571e+02
253           	5.246093e+02
254           	5.247597e+02
255           	5.249083e+02
256           	5.250552e+02
257           	5.252002e+02
258           	5.253436e+02
259           	5.254852e+02
260           	5.256251e+02
261           	5.257633e+02
262           	5.258999e+02
263           	5.260348e+02
264           	5.261680e+02
265           	5.262997e+02
266           	5.264298e+02
267           	5.265583e+02
268           	5.266853e+02
269           	5.268107e+02
270           	5.269347e+02
271           	5.270571e+02
272           	5.271781e+02
273           	5.272976e+02
274           	5.274157e+02
275           	5.275324e+02
276           	5.276477e+02
277           	5.277616e+02
278           	5.278741e+02
279           	5.279853e+02
280           	5.280952e+02
281           	5.282037e+02
282           	5.283109e+02
283           	5.284168e+02
284           	5.285214e+02
285           	5.286247e+02
286           	5.287267e+02
287           	5.288275e+02
288           	5.289271e+02
289           	5.290254e+02
290           	5.291225e+02
291           	5.292183e+02
292           	5.293130e+02
293           	5.294065e+02
294           	5.294989e+02
295           	5.295901e+02
296           	5.296801e+02
