# Region      : all 
# Cells       : 3143
# Volume      : 4.102922e-06
# Time        	max(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.994889e+02
3             	3.016405e+02
4             	3.038684e+02
5             	3.060886e+02
6             	3.082949e+02
7             	3.104845e+02
8             	3.126564e+02
9             	3.148200e+02
10            	3.169711e+02
11            	3.191048e+02
12            	3.212212e+02
13            	3.233204e+02
14            	3.254028e+02
15            	3.274684e+02
16            	3.295174e+02
17            	3.315501e+02
18            	3.335667e+02
19            	3.355689e+02
20            	3.375618e+02
21            	3.395392e+02
22            	3.415013e+02
23            	3.434484e+02
24            	3.453805e+02
25            	3.472978e+02
26            	3.492005e+02
27            	3.510887e+02
28            	3.529626e+02
29            	3.548223e+02
30            	3.566678e+02
31            	3.584986e+02
32            	3.603142e+02
33            	3.621147e+02
34            	3.638990e+02
35            	3.656664e+02
36            	3.674165e+02
37            	3.691494e+02
38            	3.708647e+02
39            	3.725624e+02
40            	3.742425e+02
41            	3.759050e+02
42            	3.775500e+02
43            	3.791775e+02
44            	3.807876e+02
45            	3.823804e+02
46            	3.839559e+02
47            	3.855143e+02
48            	3.870556e+02
49            	3.885800e+02
50            	3.900879e+02
51            	3.915792e+02
52            	3.930544e+02
53            	3.945180e+02
54            	3.959658e+02
55            	3.973978e+02
56            	3.988141e+02
57            	4.002151e+02
58            	4.016007e+02
59            	4.029713e+02
60            	4.043269e+02
61            	4.056678e+02
62            	4.069941e+02
63            	4.083060e+02
64            	4.096037e+02
65            	4.108873e+02
66            	4.121569e+02
67            	4.134129e+02
68            	4.146552e+02
69            	4.158841e+02
70            	4.170997e+02
71            	4.183021e+02
72            	4.194915e+02
73            	4.206680e+02
74            	4.218317e+02
75            	4.229828e+02
76            	4.241214e+02
77            	4.252475e+02
78            	4.263614e+02
79            	4.274631e+02
80            	4.285526e+02
81            	4.296302e+02
82            	4.306960e+02
83            	4.317501e+02
84            	4.327927e+02
85            	4.338238e+02
86            	4.348436e+02
87            	4.358522e+02
88            	4.368498e+02
89            	4.378365e+02
90            	4.388125e+02
91            	4.397778e+02
92            	4.407325e+02
93            	4.416768e+02
94            	4.426109e+02
95            	4.435347e+02
96            	4.444485e+02
97            	4.453523e+02
98            	4.462462e+02
99            	4.471304e+02
100           	4.480048e+02
101           	4.488696e+02
102           	4.497250e+02
103           	4.505708e+02
104           	4.514073e+02
105           	4.522346e+02
106           	4.530527e+02
107           	4.538617e+02
108           	4.546618e+02
109           	4.554531e+02
110           	4.562355e+02
111           	4.570093e+02
112           	4.577746e+02
113           	4.585313e+02
114           	4.592795e+02
115           	4.600195e+02
116           	4.607511e+02
117           	4.614747e+02
118           	4.621901e+02
119           	4.628975e+02
120           	4.635971e+02
121           	4.642888e+02
122           	4.649727e+02
123           	4.656489e+02
