# Region      : all 
# Cells       : 3143
# Volume      : 4.102922e-06
# Time        	volAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.990832e+02
3             	3.012353e+02
4             	3.033877e+02
5             	3.055220e+02
6             	3.076427e+02
7             	3.097469e+02
8             	3.118346e+02
9             	3.139056e+02
10            	3.159603e+02
11            	3.179988e+02
12            	3.200213e+02
13            	3.220280e+02
14            	3.240189e+02
15            	3.259945e+02
16            	3.279549e+02
17            	3.299005e+02
18            	3.318315e+02
19            	3.337481e+02
20            	3.356506e+02
21            	3.375390e+02
22            	3.394132e+02
23            	3.412733e+02
24            	3.431193e+02
25            	3.449511e+02
26            	3.467692e+02
27            	3.485739e+02
28            	3.503651e+02
29            	3.521430e+02
30            	3.539068e+02
31            	3.556545e+02
32            	3.573848e+02
33            	3.590959e+02
34            	3.607867e+02
35            	3.624573e+02
36            	3.641081e+02
37            	3.657396e+02
38            	3.673519e+02
39            	3.689451e+02
40            	3.705197e+02
41            	3.720760e+02
42            	3.736143e+02
43            	3.751351e+02
44            	3.766386e+02
45            	3.781247e+02
46            	3.795935e+02
47            	3.810453e+02
48            	3.824804e+02
49            	3.838995e+02
50            	3.853025e+02
51            	3.866899e+02
52            	3.880619e+02
53            	3.894186e+02
54            	3.907604e+02
55            	3.920873e+02
56            	3.933996e+02
57            	3.946976e+02
58            	3.959812e+02
59            	3.972508e+02
60            	3.985066e+02
61            	3.997487e+02
62            	4.009773e+02
63            	4.021926e+02
64            	4.033946e+02
65            	4.045836e+02
66            	4.057598e+02
67            	4.069231e+02
68            	4.080740e+02
69            	4.092123e+02
70            	4.103380e+02
71            	4.114515e+02
72            	4.125530e+02
73            	4.136426e+02
74            	4.147200e+02
75            	4.157855e+02
76            	4.168392e+02
77            	4.178814e+02
78            	4.189121e+02
79            	4.199313e+02
80            	4.209391e+02
81            	4.219358e+02
82            	4.229214e+02
83            	4.238962e+02
84            	4.248603e+02
85            	4.258137e+02
86            	4.267568e+02
87            	4.276895e+02
88            	4.286120e+02
89            	4.295244e+02
90            	4.304269e+02
91            	4.313195e+02
92            	4.322024e+02
93            	4.330756e+02
94            	4.339393e+02
95            	4.347936e+02
96            	4.356386e+02
97            	4.364743e+02
98            	4.373008e+02
99            	4.381182e+02
100           	4.389265e+02
101           	4.397258e+02
102           	4.405162e+02
103           	4.412978e+02
104           	4.420706e+02
105           	4.428348e+02
106           	4.435906e+02
107           	4.443379e+02
108           	4.450770e+02
109           	4.458079e+02
110           	4.465307e+02
111           	4.472454e+02
112           	4.479521e+02
113           	4.486508e+02
114           	4.493416e+02
115           	4.500246e+02
116           	4.507000e+02
117           	4.513677e+02
118           	4.520279e+02
119           	4.526807e+02
120           	4.533260e+02
121           	4.539641e+02
122           	4.545949e+02
