# Region type : patch heater_to_fins
# Faces  :    56
# Area   :    1.000000e-04
# Time        	areaAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.991620e+02
3             	3.014035e+02
4             	3.036432e+02
5             	3.058737e+02
6             	3.080905e+02
7             	3.102920e+02
8             	3.124768e+02
9             	3.146444e+02
10            	3.167946e+02
11            	3.189276e+02
12            	3.210433e+02
13            	3.231420e+02
14            	3.252238e+02
15            	3.272889e+02
16            	3.293375e+02
17            	3.313699e+02
18            	3.333862e+02
19            	3.353868e+02
20            	3.373719e+02
21            	3.393416e+02
22            	3.412962e+02
23            	3.432357e+02
24            	3.451604e+02
25            	3.470703e+02
26            	3.489656e+02
27            	3.508466e+02
28            	3.527133e+02
29            	3.545660e+02
30            	3.564044e+02
31            	3.582282e+02
32            	3.600367e+02
33            	3.618292e+02
34            	3.636049e+02
35            	3.653633e+02
36            	3.671041e+02
37            	3.688275e+02
38            	3.705331e+02
39            	3.722211e+02
40            	3.738913e+02
41            	3.755437e+02
42            	3.771786e+02
43            	3.787960e+02
44            	3.803961e+02
45            	3.819789e+02
46            	3.835444e+02
47            	3.850927e+02
48            	3.866241e+02
49            	3.881386e+02
50            	3.896367e+02
51            	3.911183e+02
52            	3.925837e+02
53            	3.940331e+02
54            	3.954668e+02
55            	3.968847e+02
56            	3.982872e+02
57            	3.996743e+02
58            	4.010464e+02
59            	4.024034e+02
60            	4.037457e+02
61            	4.050733e+02
62            	4.063866e+02
63            	4.076855e+02
64            	4.089703e+02
65            	4.102413e+02
66            	4.114984e+02
67            	4.127419e+02
68            	4.139720e+02
69            	4.151887e+02
70            	4.163922e+02
71            	4.175827e+02
72            	4.187603e+02
73            	4.199251e+02
74            	4.210772e+02
75            	4.222168e+02
76            	4.233440e+02
77            	4.244588e+02
78            	4.255615e+02
79            	4.266521e+02
80            	4.277307e+02
81            	4.287974e+02
82            	4.298524e+02
83            	4.308958e+02
84            	4.319277e+02
85            	4.329484e+02
86            	4.339578e+02
87            	4.349562e+02
88            	4.359437e+02
89            	4.369204e+02
90            	4.378864e+02
91            	4.388419e+02
92            	4.397870e+02
93            	4.407217e+02
94            	4.416463e+02
95            	4.425608e+02
96            	4.434653e+02
97            	4.443599e+02
98            	4.452448e+02
99            	4.461199e+02
100           	4.469855e+02
101           	4.478415e+02
102           	4.486881e+02
103           	4.495254e+02
104           	4.503533e+02
105           	4.511721e+02
106           	4.519818e+02
107           	4.527826e+02
108           	4.535745e+02
109           	4.543576e+02
110           	4.551321e+02
111           	4.558979e+02
112           	4.566553e+02
113           	4.574042e+02
114           	4.581447e+02
115           	4.588770e+02
116           	4.596011e+02
117           	4.603172e+02
118           	4.610252e+02
119           	4.617252e+02
120           	4.624175e+02
121           	4.631019e+02
122           	4.637787e+02
