# Region      : all 
# Cells       : 602
# Volume      : 1.000000e-06
# Time        	max(T)
0             	2.969000e+02
1             	3.140302e+02
2             	3.164507e+02
3             	3.190434e+02
4             	3.215232e+02
5             	3.239052e+02
6             	3.262159e+02
7             	3.284766e+02
8             	3.306971e+02
9             	3.328855e+02
10            	3.350471e+02
11            	3.371855e+02
12            	3.393028e+02
13            	3.414008e+02
14            	3.434804e+02
15            	3.455424e+02
16            	3.475874e+02
17            	3.496157e+02
18            	3.516279e+02
19            	3.536242e+02
20            	3.556050e+02
21            	3.575704e+02
22            	3.595207e+02
23            	3.614560e+02
24            	3.633764e+02
25            	3.652821e+02
26            	3.671732e+02
27            	3.690500e+02
28            	3.709127e+02
29            	3.727612e+02
30            	3.745956e+02
31            	3.764151e+02
32            	3.782192e+02
33            	3.800075e+02
34            	3.817788e+02
35            	3.835327e+02
36            	3.852692e+02
37            	3.869881e+02
38            	3.886894e+02
39            	3.903729e+02
40            	3.920388e+02
41            	3.936870e+02
42            	3.953176e+02
43            	3.969309e+02
44            	3.985269e+02
45            	4.001057e+02
46            	4.016672e+02
47            	4.032115e+02
48            	4.047390e+02
49            	4.062497e+02
50            	4.077440e+02
51            	4.092220e+02
52            	4.106838e+02
53            	4.121297e+02
54            	4.135598e+02
55            	4.149743e+02
56            	4.163734e+02
57            	4.177572e+02
58            	4.191259e+02
59            	4.204797e+02
60            	4.218188e+02
61            	4.231433e+02
62            	4.244534e+02
63            	4.257492e+02
64            	4.270310e+02
65            	4.282989e+02
66            	4.295531e+02
67            	4.307937e+02
68            	4.320209e+02
69            	4.332348e+02
70            	4.344355e+02
71            	4.356231e+02
72            	4.367980e+02
73            	4.379601e+02
74            	4.391095e+02
75            	4.402464e+02
76            	4.413709e+02
77            	4.424832e+02
78            	4.435833e+02
79            	4.446713e+02
80            	4.457473e+02
81            	4.468115e+02
82            	4.478640e+02
83            	4.489050e+02
84            	4.499345e+02
85            	4.509527e+02
86            	4.519598e+02
87            	4.529559e+02
88            	4.539411e+02
89            	4.549155e+02
90            	4.558793e+02
91            	4.568326e+02
92            	4.577755e+02
93            	4.587081e+02
94            	4.596305e+02
95            	4.605428e+02
96            	4.614453e+02
97            	4.623378e+02
98            	4.632206e+02
99            	4.640938e+02
100           	4.649573e+02
101           	4.658113e+02
102           	4.666559e+02
103           	4.674912e+02
104           	4.683172e+02
105           	4.691341e+02
106           	4.699419e+02
107           	4.707408e+02
108           	4.715308e+02
109           	4.723121e+02
110           	4.730847e+02
111           	4.738488e+02
112           	4.746043e+02
113           	4.753514e+02
114           	4.760902e+02
115           	4.768208e+02
116           	4.775432e+02
117           	4.782575e+02
118           	4.789638e+02
119           	4.796622e+02
120           	4.803528e+02
121           	4.810356e+02
122           	4.817108e+02
123           	4.823783e+02
124           	4.830384e+02
125           	4.836910e+02
126           	4.843363e+02
127           	4.849744e+02
128           	4.856053e+02
129           	4.862290e+02
130           	4.868458e+02
131           	4.874555e+02
132           	4.880584e+02
133           	4.886544e+02
134           	4.892437e+02
135           	4.898263e+02
136           	4.904022e+02
137           	4.909716e+02
138           	4.915345e+02
139           	4.920910e+02
140           	4.926411e+02
141           	4.931849e+02
142           	4.937225e+02
143           	4.942538e+02
144           	4.947790e+02
145           	4.952982e+02
146           	4.958112e+02
147           	4.963183e+02
148           	4.968194e+02
149           	4.973145e+02
150           	4.978038e+02
151           	4.982873e+02
152           	4.987650e+02
153           	4.992371e+02
154           	4.997036e+02
155           	5.001645e+02
156           	5.006198e+02
157           	5.010697e+02
158           	5.015142e+02
159           	5.019533e+02
160           	5.023872e+02
161           	5.028158e+02
162           	5.032393e+02
163           	5.036576e+02
164           	5.040710e+02
165           	5.044793e+02
166           	5.048827e+02
167           	5.052813e+02
168           	5.056751e+02
169           	5.060642e+02
170           	5.064487e+02
171           	5.068285e+02
172           	5.072039e+02
173           	5.075748e+02
174           	5.079412e+02
175           	5.083033e+02
176           	5.086610e+02
177           	5.090144e+02
178           	5.093635e+02
179           	5.097085e+02
180           	5.100492e+02
181           	5.103859e+02
182           	5.107185e+02
183           	5.110471e+02
184           	5.113717e+02
185           	5.116924e+02
186           	5.120092e+02
187           	5.123222e+02
188           	5.126314e+02
189           	5.129369e+02
190           	5.132386e+02
191           	5.135366e+02
192           	5.138309e+02
193           	5.141217e+02
194           	5.144089e+02
195           	5.146926e+02
196           	5.149729e+02
197           	5.152498e+02
198           	5.155235e+02
199           	5.157939e+02
200           	5.160611e+02
201           	5.163252e+02
202           	5.165861e+02
203           	5.168440e+02
204           	5.170989e+02
205           	5.173507e+02
206           	5.175996e+02
207           	5.178455e+02
208           	5.180885e+02
209           	5.183287e+02
210           	5.185660e+02
211           	5.188006e+02
212           	5.190325e+02
213           	5.192617e+02
214           	5.194882e+02
215           	5.197121e+02
216           	5.199333e+02
217           	5.201519e+02
218           	5.203678e+02
219           	5.205812e+02
220           	5.207921e+02
221           	5.210005e+02
222           	5.212064e+02
223           	5.214100e+02
224           	5.216112e+02
225           	5.218100e+02
226           	5.220064e+02
227           	5.222005e+02
228           	5.223922e+02
229           	5.225817e+02
230           	5.227689e+02
231           	5.229538e+02
232           	5.231365e+02
233           	5.233169e+02
234           	5.234951e+02
235           	5.236712e+02
236           	5.238450e+02
237           	5.240167e+02
238           	5.241862e+02
239           	5.243536e+02
240           	5.245189e+02
241           	5.246822e+02
242           	5.248434e+02
243           	5.250026e+02
244           	5.251599e+02
245           	5.253151e+02
246           	5.254683e+02
247           	5.256197e+02
248           	5.257690e+02
249           	5.259165e+02
250           	5.260621e+02
251           	5.262059e+02
252           	5.263479e+02
253           	5.264882e+02
254           	5.266267e+02
255           	5.267634e+02
256           	5.268984e+02
257           	5.270317e+02
258           	5.271634e+02
259           	5.272933e+02
260           	5.274217e+02
261           	5.275484e+02
262           	5.276735e+02
263           	5.277972e+02
264           	5.279192e+02
265           	5.280398e+02
266           	5.281589e+02
267           	5.282766e+02
268           	5.283928e+02
269           	5.285076e+02
270           	5.286211e+02
271           	5.287332e+02
272           	5.288440e+02
273           	5.289534e+02
274           	5.290616e+02
275           	5.291685e+02
276           	5.292743e+02
277           	5.293788e+02
278           	5.294821e+02
279           	5.295843e+02
280           	5.296853e+02
281           	5.297852e+02
282           	5.298840e+02
283           	5.299817e+02
284           	5.300784e+02
285           	5.301740e+02
286           	5.302685e+02
287           	5.303620e+02
288           	5.304544e+02
289           	5.305457e+02
290           	5.306360e+02
291           	5.307254e+02
292           	5.308138e+02
293           	5.309012e+02
294           	5.309877e+02
295           	5.310732e+02
296           	5.311578e+02
297           	5.312414e+02
298           	5.313242e+02
299           	5.314061e+02
300           	5.314870e+02
301           	5.315670e+02
302           	5.316462e+02
303           	5.317244e+02
304           	5.318017e+02
305           	5.318782e+02
306           	5.319538e+02
307           	5.320286e+02
308           	5.321027e+02
309           	5.321760e+02
310           	5.322485e+02
311           	5.323203e+02
312           	5.323913e+02
313           	5.324617e+02
314           	5.325313e+02
315           	5.326002e+02
316           	5.326683e+02
317           	5.327358e+02
318           	5.328025e+02
319           	5.328685e+02
320           	5.329337e+02
321           	5.329983e+02
322           	5.330621e+02
323           	5.331253e+02
324           	5.331877e+02
325           	5.332496e+02
326           	5.333107e+02
327           	5.333713e+02
328           	5.334312e+02
329           	5.334905e+02
330           	5.335492e+02
331           	5.336073e+02
332           	5.336648e+02
333           	5.337218e+02
334           	5.337782e+02
335           	5.338340e+02
336           	5.338892e+02
337           	5.339439e+02
338           	5.339980e+02
339           	5.340516e+02
340           	5.341046e+02
341           	5.341571e+02
342           	5.342090e+02
343           	5.342604e+02
344           	5.343112e+02
345           	5.343616e+02
346           	5.344114e+02
347           	5.344608e+02
348           	5.345096e+02
349           	5.345580e+02
350           	5.346059e+02
351           	5.346533e+02
352           	5.347003e+02
353           	5.347469e+02
354           	5.347930e+02
355           	5.348387e+02
356           	5.348839e+02
357           	5.349287e+02
358           	5.349731e+02
359           	5.350170e+02
360           	5.350606e+02
361           	5.351037e+02
362           	5.351463e+02
363           	5.351886e+02
364           	5.352304e+02
365           	5.352718e+02
366           	5.353129e+02
367           	5.353535e+02
368           	5.353938e+02
369           	5.354337e+02
370           	5.354731e+02
371           	5.355123e+02
372           	5.355510e+02
373           	5.355895e+02
374           	5.356276e+02
375           	5.356653e+02
376           	5.357028e+02
377           	5.357400e+02
378           	5.357768e+02
379           	5.358134e+02
380           	5.358497e+02
381           	5.358857e+02
382           	5.359214e+02
383           	5.359568e+02
384           	5.359920e+02
385           	5.360268e+02
386           	5.360614e+02
387           	5.360958e+02
388           	5.361299e+02
389           	5.361637e+02
390           	5.361973e+02
391           	5.362307e+02
392           	5.362638e+02
393           	5.362966e+02
394           	5.363293e+02
395           	5.363616e+02
396           	5.363937e+02
397           	5.364256e+02
398           	5.364572e+02
399           	5.364886e+02
400           	5.365197e+02
401           	5.365506e+02
402           	5.365812e+02
403           	5.366115e+02
404           	5.366416e+02
405           	5.366714e+02
406           	5.367010e+02
407           	5.367303e+02
408           	5.367594e+02
409           	5.367882e+02
410           	5.368168e+02
411           	5.368451e+02
412           	5.368732e+02
413           	5.369011e+02
414           	5.369287e+02
415           	5.369561e+02
416           	5.369832e+02
417           	5.370102e+02
418           	5.370369e+02
419           	5.370634e+02
420           	5.370897e+02
421           	5.371157e+02
422           	5.371416e+02
423           	5.371672e+02
424           	5.371926e+02
425           	5.372178e+02
426           	5.372428e+02
427           	5.372675e+02
428           	5.372920e+02
429           	5.373163e+02
430           	5.373403e+02
431           	5.373641e+02
432           	5.373877e+02
433           	5.374111e+02
434           	5.374343e+02
435           	5.374572e+02
436           	5.374800e+02
437           	5.375025e+02
438           	5.375248e+02
439           	5.375469e+02
440           	5.375687e+02
441           	5.375904e+02
442           	5.376119e+02
443           	5.376331e+02
444           	5.376542e+02
445           	5.376750e+02
446           	5.376957e+02
447           	5.377161e+02
448           	5.377363e+02
449           	5.377563e+02
450           	5.377761e+02
451           	5.377957e+02
452           	5.378151e+02
453           	5.378343e+02
454           	5.378532e+02
455           	5.378720e+02
456           	5.378905e+02
457           	5.379088e+02
458           	5.379269e+02
459           	5.379449e+02
460           	5.379626e+02
461           	5.379801e+02
