# Region      : all 
# Cells       : 602
# Volume      : 1.000000e-06
# Time        	volAverage(T)
0             	2.969000e+02
1             	3.085814e+02
2             	3.110116e+02
3             	3.135245e+02
4             	3.159116e+02
5             	3.182311e+02
6             	3.205011e+02
7             	3.227336e+02
8             	3.249360e+02
9             	3.271126e+02
10            	3.292666e+02
11            	3.313999e+02
12            	3.335140e+02
13            	3.356097e+02
14            	3.376878e+02
15            	3.397487e+02
16            	3.417928e+02
17            	3.438206e+02
18            	3.458322e+02
19            	3.478281e+02
20            	3.498085e+02
21            	3.517736e+02
22            	3.537235e+02
23            	3.556585e+02
24            	3.575786e+02
25            	3.594840e+02
26            	3.613748e+02
27            	3.632513e+02
28            	3.651137e+02
29            	3.669620e+02
30            	3.687960e+02
31            	3.706152e+02
32            	3.724189e+02
33            	3.742063e+02
34            	3.759767e+02
35            	3.777296e+02
36            	3.794650e+02
37            	3.811829e+02
38            	3.828830e+02
39            	3.845654e+02
40            	3.862300e+02
41            	3.878770e+02
42            	3.895064e+02
43            	3.911184e+02
44            	3.927131e+02
45            	3.942905e+02
46            	3.958507e+02
47            	3.973937e+02
48            	3.989198e+02
49            	4.004292e+02
50            	4.019221e+02
51            	4.033987e+02
52            	4.048591e+02
53            	4.063036e+02
54            	4.077324e+02
55            	4.091455e+02
56            	4.105432e+02
57            	4.119257e+02
58            	4.132930e+02
59            	4.146455e+02
60            	4.159832e+02
61            	4.173064e+02
62            	4.186152e+02
63            	4.199097e+02
64            	4.211903e+02
65            	4.224569e+02
66            	4.237098e+02
67            	4.249491e+02
68            	4.261751e+02
69            	4.273877e+02
70            	4.285872e+02
71            	4.297736e+02
72            	4.309472e+02
73            	4.321082e+02
74            	4.332564e+02
75            	4.343921e+02
76            	4.355155e+02
77            	4.366265e+02
78            	4.377255e+02
79            	4.388124e+02
80            	4.398873e+02
81            	4.409503e+02
82            	4.420017e+02
83            	4.430416e+02
84            	4.440700e+02
85            	4.450872e+02
86            	4.460932e+02
87            	4.470882e+02
88            	4.480724e+02
89            	4.490457e+02
90            	4.500085e+02
91            	4.509607e+02
92            	4.519026e+02
