# Region      : all 
# Cells       : 2668
# Volume      : 4.095121e-06
# Time        	max(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.997118e+02
3             	3.021061e+02
4             	3.044846e+02
5             	3.068504e+02
6             	3.091967e+02
7             	3.115238e+02
8             	3.138313e+02
9             	3.161190e+02
10            	3.183868e+02
11            	3.206348e+02
12            	3.228632e+02
13            	3.250720e+02
14            	3.272616e+02
15            	3.294322e+02
16            	3.315838e+02
17            	3.337168e+02
18            	3.358313e+02
19            	3.379277e+02
20            	3.400060e+02
21            	3.420664e+02
22            	3.441091e+02
23            	3.461344e+02
24            	3.481423e+02
25            	3.501331e+02
26            	3.521069e+02
27            	3.540638e+02
28            	3.560039e+02
29            	3.579274e+02
30            	3.598344e+02
31            	3.617247e+02
32            	3.635985e+02
33            	3.654557e+02
34            	3.672963e+02
35            	3.691206e+02
36            	3.709286e+02
37            	3.727204e+02
38            	3.744960e+02
39            	3.762557e+02
40            	3.779995e+02
41            	3.797275e+02
42            	3.814400e+02
43            	3.831370e+02
44            	3.848187e+02
45            	3.864851e+02
46            	3.881365e+02
47            	3.897728e+02
48            	3.913943e+02
49            	3.930012e+02
50            	3.945934e+02
51            	3.961712e+02
52            	3.977347e+02
53            	3.992839e+02
54            	4.008191e+02
55            	4.023403e+02
56            	4.038478e+02
57            	4.053415e+02
58            	4.068216e+02
59            	4.082882e+02
60            	4.097415e+02
61            	4.111815e+02
62            	4.126084e+02
63            	4.140224e+02
64            	4.154235e+02
65            	4.168118e+02
66            	4.181874e+02
67            	4.195505e+02
68            	4.209012e+02
69            	4.222396e+02
70            	4.235659e+02
71            	4.248801e+02
72            	4.261823e+02
73            	4.274727e+02
74            	4.287516e+02
75            	4.300233e+02
76            	4.312833e+02
77            	4.325319e+02
78            	4.337690e+02
79            	4.349949e+02
80            	4.362096e+02
81            	4.374131e+02
82            	4.386057e+02
83            	4.397874e+02
84            	4.409582e+02
85            	4.421184e+02
86            	4.432679e+02
87            	4.444069e+02
88            	4.455356e+02
89            	4.466539e+02
90            	4.477620e+02
91            	4.488599e+02
92            	4.499478e+02
93            	4.510258e+02
94            	4.520939e+02
95            	4.531522e+02
96            	4.542008e+02
97            	4.552397e+02
98            	4.562692e+02
99            	4.572892e+02
100           	4.582998e+02
101           	4.593012e+02
102           	4.602933e+02
103           	4.612764e+02
104           	4.622504e+02
105           	4.632154e+02
106           	4.641716e+02
107           	4.651190e+02
108           	4.660577e+02
109           	4.669877e+02
110           	4.679092e+02
111           	4.688221e+02
112           	4.697267e+02
113           	4.706229e+02
114           	4.715109e+02
115           	4.723907e+02
116           	4.732623e+02
117           	4.741260e+02
118           	4.749816e+02
119           	4.758293e+02
120           	4.766692e+02
121           	4.775013e+02
122           	4.783257e+02
123           	4.791425e+02
