# Region      : all 
# Cells       : 2668
# Volume      : 4.095121e-06
# Time        	volAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.992531e+02
3             	3.015727e+02
4             	3.038899e+02
5             	3.061911e+02
6             	3.084741e+02
7             	3.107371e+02
8             	3.129799e+02
9             	3.152021e+02
10            	3.174041e+02
11            	3.195859e+02
12            	3.217480e+02
13            	3.238908e+02
14            	3.260144e+02
15            	3.281193e+02
16            	3.302055e+02
17            	3.322735e+02
18            	3.343235e+02
19            	3.363559e+02
20            	3.383708e+02
21            	3.403684e+02
22            	3.423489e+02
23            	3.443124e+02
24            	3.462592e+02
25            	3.481893e+02
26            	3.501029e+02
27            	3.520001e+02
28            	3.538810e+02
29            	3.557457e+02
30            	3.575943e+02
31            	3.594263e+02
32            	3.612416e+02
33            	3.630404e+02
34            	3.648226e+02
35            	3.665886e+02
36            	3.683386e+02
37            	3.700724e+02
38            	3.717903e+02
39            	3.734923e+02
40            	3.751788e+02
41            	3.768499e+02
42            	3.785057e+02
43            	3.801465e+02
44            	3.817724e+02
45            	3.833834e+02
46            	3.849796e+02
47            	3.865612e+02
48            	3.881284e+02
49            	3.896813e+02
50            	3.912201e+02
51            	3.927448e+02
52            	3.942556e+02
53            	3.957527e+02
54            	3.972361e+02
55            	3.987060e+02
56            	4.001625e+02
57            	4.016058e+02
58            	4.030359e+02
59            	4.044529e+02
60            	4.058569e+02
61            	4.072482e+02
62            	4.086268e+02
63            	4.099928e+02
64            	4.113463e+02
65            	4.126875e+02
66            	4.140163e+02
67            	4.153331e+02
68            	4.166378e+02
69            	4.179307e+02
70            	4.192118e+02
71            	4.204813e+02
72            	4.217393e+02
73            	4.229857e+02
74            	4.242208e+02
75            	4.254445e+02
76            	4.266570e+02
77            	4.278584e+02
78            	4.290488e+02
79            	4.302283e+02
80            	4.313969e+02
81            	4.325549e+02
82            	4.337023e+02
83            	4.348391e+02
84            	4.359655e+02
85            	4.370816e+02
86            	4.381874e+02
87            	4.392832e+02
88            	4.403690e+02
89            	4.414448e+02
90            	4.425108e+02
91            	4.435670e+02
92            	4.446135e+02
93            	4.456505e+02
94            	4.466779e+02
95            	4.476960e+02
96            	4.487046e+02
97            	4.497040e+02
98            	4.506942e+02
99            	4.516754e+02
100           	4.526475e+02
101           	4.536107e+02
102           	4.545650e+02
103           	4.555105e+02
104           	4.564474e+02
105           	4.573756e+02
106           	4.582953e+02
107           	4.592066e+02
108           	4.601094e+02
109           	4.610039e+02
110           	4.618902e+02
111           	4.627682e+02
112           	4.636382e+02
113           	4.645002e+02
114           	4.653542e+02
115           	4.662003e+02
116           	4.670386e+02
117           	4.678691e+02
118           	4.686919e+02
119           	4.695071e+02
120           	4.703148e+02
121           	4.711149e+02
122           	4.719076e+02
