# Region type : patch heater_to_fins
# Faces  :    56
# Area   :    1.000000e-04
# Time        	areaAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.993004e+02
3             	3.016731e+02
4             	3.040462e+02
5             	3.064087e+02
6             	3.087557e+02
7             	3.110850e+02
8             	3.133955e+02
9             	3.156866e+02
10            	3.179580e+02
11            	3.202098e+02
12            	3.224418e+02
13            	3.246545e+02
14            	3.268478e+02
15            	3.290219e+02
16            	3.311772e+02
17            	3.333137e+02
18            	3.354316e+02
19            	3.375313e+02
20            	3.396130e+02
21            	3.416767e+02
22            	3.437227e+02
23            	3.457511e+02
24            	3.477622e+02
25            	3.497561e+02
26            	3.517330e+02
27            	3.536929e+02
28            	3.556360e+02
29            	3.575625e+02
30            	3.594724e+02
31            	3.613658e+02
32            	3.632425e+02
33            	3.651026e+02
34            	3.669462e+02
35            	3.687733e+02
36            	3.705841e+02
37            	3.723787e+02
38            	3.741571e+02
39            	3.759194e+02
40            	3.776658e+02
41            	3.793965e+02
42            	3.811115e+02
43            	3.828110e+02
44            	3.844951e+02
45            	3.861640e+02
46            	3.878178e+02
47            	3.894566e+02
48            	3.910804e+02
49            	3.926896e+02
50            	3.942841e+02
51            	3.958642e+02
52            	3.974299e+02
53            	3.989813e+02
54            	4.005187e+02
55            	4.020421e+02
56            	4.035517e+02
57            	4.050476e+02
58            	4.065298e+02
59            	4.079985e+02
60            	4.094539e+02
61            	4.108959e+02
62            	4.123249e+02
63            	4.137409e+02
64            	4.151439e+02
65            	4.165342e+02
66            	4.179118e+02
67            	4.192768e+02
68            	4.206293e+02
69            	4.219696e+02
70            	4.232977e+02
71            	4.246137e+02
72            	4.259177e+02
73            	4.272099e+02
74            	4.284903e+02
75            	4.297591e+02
76            	4.310162e+02
77            	4.322619e+02
78            	4.334962e+02
79            	4.347193e+02
80            	4.359311e+02
81            	4.371319e+02
82            	4.383217e+02
83            	4.395007e+02
84            	4.406688e+02
85            	4.418262e+02
86            	4.429731e+02
87            	4.441095e+02
88            	4.452355e+02
89            	4.463512e+02
90            	4.474567e+02
91            	4.485521e+02
92            	4.496375e+02
93            	4.507129e+02
94            	4.517785e+02
95            	4.528343e+02
96            	4.538805e+02
97            	4.549170e+02
98            	4.559441e+02
99            	4.569617e+02
100           	4.579699e+02
101           	4.589689e+02
102           	4.599588e+02
103           	4.609395e+02
104           	4.619112e+02
105           	4.628740e+02
106           	4.638280e+02
107           	4.647731e+02
108           	4.657096e+02
109           	4.666374e+02
110           	4.675567e+02
111           	4.684675e+02
112           	4.693700e+02
113           	4.702641e+02
114           	4.711500e+02
115           	4.720277e+02
116           	4.728973e+02
117           	4.737589e+02
118           	4.746125e+02
119           	4.754582e+02
120           	4.762961e+02
121           	4.771263e+02
122           	4.779487e+02
