# Region      : all 
# Cells       : 625
# Volume      : 1.000000e-06
# Time        	volAverage(T)
0             	2.969000e+02
1             	3.088573e+02
2             	3.113892e+02
3             	3.139839e+02
4             	3.164736e+02
5             	3.189033e+02
6             	3.212882e+02
7             	3.236380e+02
8             	3.259586e+02
9             	3.282534e+02
10            	3.305247e+02
11            	3.327739e+02
12            	3.350021e+02
13            	3.372100e+02
14            	3.393980e+02
15            	3.415666e+02
16            	3.437162e+02
17            	3.458469e+02
18            	3.479592e+02
19            	3.500531e+02
20            	3.521290e+02
21            	3.541871e+02
22            	3.562275e+02
23            	3.582503e+02
24            	3.602559e+02
25            	3.622443e+02
26            	3.642157e+02
27            	3.661703e+02
28            	3.681081e+02
29            	3.700292e+02
30            	3.719339e+02
31            	3.738219e+02
32            	3.756933e+02
33            	3.775482e+02
34            	3.793865e+02
35            	3.812084e+02
36            	3.830140e+02
37            	3.848034e+02
38            	3.865766e+02
39            	3.883338e+02
40            	3.900752e+02
41            	3.918008e+02
42            	3.935108e+02
43            	3.952054e+02
44            	3.968847e+02
45            	3.985487e+02
46            	4.001977e+02
47            	4.018316e+02
48            	4.034508e+02
49            	4.050552e+02
50            	4.066451e+02
51            	4.082206e+02
52            	4.097817e+02
53            	4.113287e+02
54            	4.128616e+02
55            	4.143805e+02
56            	4.158857e+02
57            	4.173772e+02
58            	4.188551e+02
59            	4.203195e+02
60            	4.217706e+02
61            	4.232085e+02
62            	4.246332e+02
63            	4.260451e+02
64            	4.274440e+02
65            	4.288302e+02
66            	4.302037e+02
67            	4.315648e+02
68            	4.329134e+02
69            	4.342497e+02
70            	4.355739e+02
71            	4.368861e+02
72            	4.381864e+02
73            	4.394747e+02
74            	4.407514e+02
75            	4.420164e+02
76            	4.432699e+02
77            	4.445119e+02
78            	4.457426e+02
79            	4.469621e+02
80            	4.481704e+02
81            	4.493677e+02
82            	4.505540e+02
83            	4.517294e+02
84            	4.528941e+02
85            	4.540482e+02
86            	4.551917e+02
87            	4.563247e+02
88            	4.574474e+02
89            	4.585599e+02
90            	4.596621e+02
91            	4.607543e+02
92            	4.618365e+02
93            	4.629088e+02
94            	4.639712e+02
95            	4.650239e+02
96            	4.660670e+02
97            	4.671005e+02
98            	4.681245e+02
99            	4.691391e+02
100           	4.701444e+02
101           	4.711405e+02
102           	4.721274e+02
103           	4.731052e+02
104           	4.740741e+02
105           	4.750340e+02
106           	4.759851e+02
107           	4.769275e+02
108           	4.778612e+02
109           	4.787863e+02
110           	4.797029e+02
111           	4.806110e+02
112           	4.815108e+02
113           	4.824023e+02
114           	4.832855e+02
115           	4.841606e+02
116           	4.850276e+02
117           	4.858867e+02
118           	4.867378e+02
119           	4.875810e+02
120           	4.884164e+02
121           	4.892441e+02
122           	4.900641e+02
123           	4.908764e+02
124           	4.916813e+02
125           	4.924787e+02
126           	4.932686e+02
127           	4.940512e+02
128           	4.948266e+02
129           	4.955947e+02
130           	4.963557e+02
131           	4.971095e+02
132           	4.978564e+02
133           	4.985963e+02
134           	4.993293e+02
135           	5.000554e+02
136           	5.007748e+02
137           	5.014874e+02
138           	5.021934e+02
139           	5.028928e+02
140           	5.035856e+02
141           	5.042720e+02
142           	5.049519e+02
143           	5.056255e+02
144           	5.062927e+02
145           	5.069538e+02
146           	5.076086e+02
147           	5.082573e+02
148           	5.089000e+02
149           	5.095366e+02
150           	5.101672e+02
151           	5.107920e+02
152           	5.114109e+02
153           	5.120240e+02
154           	5.126313e+02
155           	5.132329e+02
156           	5.138289e+02
157           	5.144193e+02
158           	5.150041e+02
159           	5.155835e+02
160           	5.161574e+02
161           	5.167259e+02
162           	5.172890e+02
163           	5.178469e+02
164           	5.183995e+02
165           	5.189469e+02
166           	5.194892e+02
167           	5.200264e+02
168           	5.205585e+02
169           	5.210856e+02
170           	5.216078e+02
171           	5.221250e+02
172           	5.226374e+02
173           	5.231449e+02
174           	5.236477e+02
175           	5.241457e+02
